"id";"person_id";"film_id"
"242";"10308";"1042"
"243";"10309";"1042"
"244";"10310";"1042"
"245";"10311";"1042"
"246";"10312";"1042"
"455";"10517";"7463"
"456";"10518";"7463"
"457";"10325";"7463"
"458";"10519";"7463"
"459";"10326";"7463"
"460";"10297";"7463"
"461";"10528";"7465"
"462";"10529";"7465"
"463";"10530";"7465"
"464";"8893";"7465"
"465";"10531";"7465"
"471";"10544";"7466"
"472";"10545";"7466"
"473";"10546";"7466"
"474";"10547";"7466"
"475";"10548";"7466"
"476";"7415";"7467"
"477";"10554";"7467"
"478";"10555";"7467"
"486";"10572";"7469"
"487";"10576";"7469"
"488";"10577";"7469"
"489";"10578";"7469"
"490";"10579";"7469"
"491";"10580";"7469"
"559";"10676";"7474"
"560";"10677";"7474"
"561";"10678";"7474"
"562";"10679";"7474"
"563";"10680";"7474"
"564";"10681";"7474"
"565";"10682";"7474"
"566";"10683";"7474"
"567";"10684";"7474"
"568";"10685";"7474"
"593";"10721";"7477"
"594";"10325";"7477"
"595";"10722";"7477"
"596";"10723";"7477"
"597";"10724";"7477"
"598";"10725";"7477"
"728";"10915";"7489"
"729";"10916";"7489"
"730";"10917";"7489"
"731";"10918";"7489"
"732";"10919";"7489"
"733";"10915";"7490"
"734";"10916";"7490"
"735";"10917";"7490"
"736";"10166";"7490"
"737";"10921";"7490"
"738";"10918";"7490"
"739";"10919";"7490"
"740";"10915";"7491"
"741";"10916";"7491"
"742";"10917";"7491"
"743";"10923";"7491"
"744";"10924";"7491"
"745";"10918";"7491"
"746";"10919";"7491"
"805";"11019";"7497"
"806";"11009";"7497"
"807";"11020";"7497"
"808";"11021";"7497"
"809";"11022";"7497"
"810";"11025";"7498"
"811";"11026";"7498"
"812";"11027";"7498"
"813";"11028";"7498"
"814";"11029";"7498"
"1160";"5561";"7519"
"1161";"11458";"7519"
"1162";"11459";"7519"
"1163";"11460";"7519"
"1164";"11461";"7519"
"1657";"1393";"7557"
"1658";"12007";"7557"
"1659";"12008";"7557"
"1660";"12009";"7557"
"1708";"12065";"3599"
"1709";"12064";"3599"
"1710";"12068";"3599"
"1711";"12052";"3599"
"1712";"12069";"3599"
"2030";"3200";"6009"
"2031";"12463";"6009"
"2032";"12464";"6009"
"2033";"12465";"6009"
"2034";"12466";"6009"
"2055";"12477";"896"
"2056";"12240";"896"
"2057";"12484";"896"
"2058";"11449";"896"
"2059";"12485";"896"
"2070";"12494";"7587"
"2071";"12499";"7587"
"2072";"12500";"7587"
"2073";"12501";"7587"
"2267";"6750";"5070"
"2268";"12717";"5070"
"2269";"12718";"5070"
"2270";"10223";"5070"
"2271";"12719";"5070"
"2272";"12721";"4871"
"2273";"12722";"4871"
"2274";"12723";"4871"
"2275";"12724";"4871"
"2276";"12725";"4871"
"2319";"12767";"5609"
"2320";"12768";"5609"
"2321";"12769";"5609"
"2322";"12770";"5609"
"2323";"12771";"5609"
"2352";"12814";"7599"
"2353";"12815";"7599"
"2354";"12816";"7599"
"2355";"12817";"7599"
"2356";"12818";"7599"
"2440";"2846";"7607"
"2441";"12930";"7607"
"2442";"5562";"7607"
"2443";"12931";"7607"
"2444";"12932";"7607"
"2470";"12958";"1963"
"2471";"12959";"1963"
"2472";"12960";"1963"
"2473";"12961";"1963"
"2474";"12659";"1963"
"2680";"13147";"7626"
"2681";"13148";"7626"
"2682";"13138";"7626"
"2683";"13149";"7626"
"2684";"13150";"7626"
"2723";"12344";"7630"
"2724";"13185";"7630"
"2725";"13186";"7630"
"2726";"12949";"7630"
"2727";"13187";"7630"
"2728";"13190";"655"
"2729";"13191";"655"
"2730";"13192";"655"
"2731";"13193";"655"
"2732";"13194";"655"
"2733";"13197";"5341"
"2734";"13198";"5341"
"2735";"13199";"5341"
"2736";"13200";"5341"
"2737";"13201";"5341"
"2738";"13206";"7631"
"2739";"13207";"7631"
"2740";"13208";"7631"
"2741";"13209";"7631"
"2742";"13210";"7631"
"3095";"13541";"7648"
"3096";"13542";"7648"
"3097";"13543";"7648"
"3098";"13544";"7648"
"3099";"13545";"7648"
"3141";"10163";"1703"
"3142";"13607";"1703"
"3143";"13608";"1703"
"3144";"13609";"1703"
"3155";"12059";"7653"
"3156";"13601";"7653"
