"id","name","alt_name","description","year","verified","created_at","updated_at"
"1","КОМАНДА БАГ 13",," ","2013","1","2014-06-01 10:00:00","2020-06-13 14:27:30"
"2","Элизиум 13",," ","2008","1","2014-06-01 10:00:00","2020-06-13 14:27:30"
"3","1516/Орден Пресветлого Хмеля",," ","2009","1","2014-06-01 10:00:00","2020-06-13 14:27:30"
"4","2 Войны",," ","2007","1","2014-06-01 10:00:00","2020-06-13 14:27:30"
"5","2000 И Одна Ночь",," ","1999","1","2014-06-01 10:00:00","2020-06-13 14:27:30"
"6","Seether 2002-2013",," ","2013","1","2014-06-01 10:00:00","2020-06-13 14:27:30"
"7","2004 (I.F.K.)",," ","2004","1","2014-06-01 10:00:00","2020-06-13 14:27:30"
"8","49 Keys of your Time",,,"0","0","2014-06-01 10:00:00","2020-06-13 14:27:30"
"9","4ever",," ","2009","1","2014-06-01 10:00:00","2020-06-13 14:27:30"
"10","6.3.0. (МЭD DОГ)",," ","1999","1","2014-06-01 10:00:00","2020-06-13 14:27:30"
"11","7 жизней",,,"0","0","2014-06-01 10:00:00","2020-06-13 14:27:30"
"12","8-Bit Lagerfeuer",,,"0","0","2014-06-01 10:00:00","2020-06-13 14:27:30"
"13","Ева едет в Вавилон",," ","2018","1","2018-09-04 17:10:49","2018-09-15 14:03:48"
"14","Мало (Пионерлагерь Пыльная радуга)",," ","2018","1","2018-09-04 17:27:03","2018-09-15 14:03:48"
"15","About Love",,,"0","0","2014-06-01 10:00:00","2020-06-13 14:27:30"
"16","Ace of Spades",,,"0","0","2014-06-01 10:00:00","2020-06-13 14:27:30"
"17","Acid Eaters",,,"1993","1","2014-06-01 10:00:00","2020-06-13 14:27:30"
"18","Adios Amigos",,,"1995","1","2014-06-01 10:00:00","2020-06-13 14:27:30"
"19","Aerosmith's Greatest Hits",,,"0","0","2014-06-01 10:00:00","2020-06-13 14:27:30"
"20","All Hope Is Gone",," ","2008","1","2014-06-01 10:00:00","2020-06-13 14:27:30"
"21","All the Right Reasons",,,"0","0","2014-06-01 10:00:00","2020-06-13 14:27:30"
"22","Alma",,,"0","0","2014-06-01 10:00:00","2020-06-13 14:27:30"
