"id";"name";"alt_name";"photo";"description";"created_at";"updated_at";"country"
"1";"6 Океанов";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"2";"60mm";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"3";"7000$";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"4";"7раса";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"5";"Vincent Gillioz";"";"";"";"2020-3-28 10:28:55";"2020-3-28 10:28:55";""
"6";"Adam Lambert";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"7";"Adema";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"8";"Aerosmith";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"9";"AFI";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"10";"Against Me!";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"11";"Akira Yamaoka";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"12";"Alanis Morissette";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"13";"Alcest";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"14";"Alien Ant Farm";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"15";"Alizee";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"16";"Alma";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"17";"Almost Kings";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"18";"Anatomie Bousculaire";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"19";"Anouk";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"20";"Apocalyptica";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"21";"Arcade Fire";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"22";"Arida Vortex";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"23";"Army of Me";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"24";"Bad Religion";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"25";"Banana Bomb";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"26";"Basil Poledouris";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"27";"Battlelore";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"28";"BIGkids";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"29";"Billy Idol";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"30";"Billy Talent";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"31";"Birdy";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"32";"Black Stone Cherry";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"33";"Blind Guardian";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"34";"Blindside";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"35";"Blood Red Shoes";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"36";"Bloodhound Gang";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"37";"Blue Stahli";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"38";"Bon Jovi";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"39";"Breaking Benjamin";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"40";"Bromheads Jacket";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"41";"Buccc ";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"42";"Bullets and Octane";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"43";"Catharsis";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"44";"Social Distortion";"";"";"";"2020-4-1 12:04:43";"2020-4-1 12:04:43";""
"46";"Chris Isaak";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"47";"Citadel";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"48";"Clawfinger";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
"49";"Cliff Lin";"";"";"";"0000-0-0 00:00:00";"0000-0-0 00:00:00";""
