"id","band_id","album_id"
"8","41","8"
"11","232","11"
"12","138","12"
"13","136","15"
"14","119","16"
"15","146","17"
"17","8","19"
"19","121","21"
"20","16","22"
"22","160","24"
"23","6","25"
"24","18","26"
"26","14","28"
"29","156","31"
"31","89","33"
"32","173","34"
"33","74","36"
"35","249","38"
"36","46","39"
"37","32","40"
"38","30","41"
"39","30","42"
"40","30","43"
"41","99","44"
"42","187","45"
"43","37","46"
"44","35","47"
"45","137","48"
"46","103","49"
"47","101","50"
"48","177","51"
"49","26","53"
"50","88","54"
"51","139","55"
"53","112","57"
"55","20","59"
"56","29","60"
"57","108","61"
"58","39","62"
"59","87","63"
"60","142","64"
"61","86","65"
"62","30","66"
"63","65","67"
"64","48","68"
"65","66","69"
"66","175","70"
"67","9","71"
"68","189","72"
"70","139","74"
"71","107","75"
"72","56","76"
"73","24","77"
"74","40","78"
"76","90","80"
"77","27","81"
"78","113","82"
"79","13","83"
"80","110","84"
"81","81","85"
"82","185","86"
"83","24","87"
"85","122","89"
"86","91","90"
"87","201","91"
"88","184","92"
"89","295","93"
"90","210","94"
"91","79","95"
"92","22","96"
"93","117","97"
"94","78","98"
"95","157","99"
"97","63","101"
"98","131","102"
"99","58","103"
"101","168","104"
"102","31","105"
"104","22","107"
"105","12","108"
"106","135","109"
"107","208","110"
"108","164","111"
"109","131","112"
"110","51","113"
"112","52","115"
"113","61","116"
"114","70","117"
"115","150","118"
"116","124","119"
"118","22","121"
"119","285","122"
"120","124","123"
"121","17","124"
"122","169","125"
"123","154","126"
"124","199","127"
"125","177","128"
"126","192","129"
"127","104","130"
"128","104","131"
"129","203","132"
"130","109","133"
"131","178","134"
"132","118","135"
"133","118","136"
"134","83","137"
"135","84","138"
"137","22","140"
"139","148","142"
"140","242","143"
"141","42","144"
"143","131","146"
"144","22","147"
"146","137","149"
"148","116","151"
"150","94","153"
"151","183","154"
"152","116","155"
"153","116","156"
"154","198","157"
"155","58","158"
"157","144","160"
"158","77","161"
"159","64","162"
"160","131","163"
"161","272","164"
"162","140","165"
"163","188","166"
"164","68","167"
"165","115","168"
"167","292","170"
"168","292","171"
"169","131","172"
"170","104","173"
"171","151","174"
"172","15","175"
"173","95","176"
"174","128","177"
"175","79","178"
"176","49","179"
"177","118","180"
"178","21","181"
"179","24","182"
"180","33","183"
"181","206","184"
"182","152","185"
"183","207","186"
"184","74","187"
"185","142","188"
"186","192","189"
"187","92","190"
"188","187","191"
"189","122","192"
"190","107","193"
"191","130","194"
"192","182","195"
"193","131","196"
"194","182","197"
"195","132","198"
"196","171","199"
"198","7","201"
"199","209","202"
"200","75","203"
"202","254","205"
"203","254","206"
"204","68","207"
"205","24","208"
"206","96","209"
"207","124","210"
"208","204","211"
"209","193","212"
"210","114","213"
"211","71","214"
"212","200","215"
"213","71","216"
"214","72","217"
"215","107","218"
"216","167","219"
"217","145","220"
"218","23","221"
"219","125","222"
"220","60","223"
"222","202","225"
"223","214","226"
"224","145","227"
"225","93","228"
"226","206","229"
"229","190","232"
"230","167","233"
"231","158","234"
"232","172","235"
"233","36","236"
"234","34","237"
"235","54","238"
"236","11","239"
"237","111","240"
"238","182","241"
"239","9","242"
"240","123","243"
"241","210","244"
"243","38","246"
"244","166","247"
"245","304","248"
"246","181","249"
"247","139","250"
"248","42","251"
"250","174","253"
"251","76","254"
"252","179","255"
"254","245","257"
"255","110","258"
"256","28","259"
"257","182","260"
"258","162","261"
"259","162","262"
"261","137","264"
"264","192","267"
"266","59","269"
"267","19","270"
"268","7","271"
"269","186","272"
"270","139","273"
"271","192","274"
"272","195","275"
"273","24","276"
"274","167","277"
"275","80","278"
"276","126","279"
"277","176","280"
"278","149","281"
"279","137","282"
"280","102","283"
"281","55","284"
"282","212","285"
"283","203","286"
"285","7","288"
"287","25","290"
"288","107","291"
"289","73","292"
"290","161","293"
"291","50","294"
"292","74","295"
"294","70","297"
"295","39","298"
"296","155","299"
"299","171","302"
"300","10","303"
"301","112","304"
"303","134","306"
"306","22","309"
"307","265","310"
"308","305","311"
"309","211","312"
"310","250","313"
"314","118","317"
"316","264","319"
"318","215","321"
"320","292","323"
"321","250","324"
"322","278","325"
"323","264","326"
"324","279","327"
"325","238","328"
"326","297","329"
"327","228","330"
"328","277","331"
"329","282","332"
"330","256","333"
"331","226","334"
"332","127","335"
"334","292","337"
"335","284","338"
"336","298","339"
"337","307","340"
"339","261","342"
"341","225","344"
"344","266","347"
"347","231","350"
"348","240","351"
"350","180","353"
