"id","name","description"
"1","DC Comics","DC Comics (основано в 1934 как National Allied Publications)&nbsp;&mdash; одно из крупнейших и наиболее популярных издательств комиксов. Издательство было куплено компанией &laquo;Warner Bros. Entertainment&raquo; в 1969. Аббревиатура &laquo;DC&raquo; перешла от популярнейшей серии издательства &laquo;Detective Comics&raquo; и вскоре стала официальным названием компании."
"2","Marvel Comics"," "
"3","Постапокалипсис",
"4","Бессмертие"," "
"5","Алиса"," "
"6","Dungeons &amp",
"7","Dragons",
"8","Марс"," "
"9","Mecha","Мех (ме́ха; англ. mech/mecha)&nbsp;&mdash; вид машин, передвигающихся при помощи ног (обычно двух или четырёх), и пилотируемых человеком, находящимся внутри.

Мехи часто фигурируют в научной фантастике. Подавляющее большинство мехов&nbsp;&mdash; боевые машины, но существуют и мехи, используемые в гражданских целях, например для выполнения тяжёлых строительных работ.

Смежным понятием является ОБЧР&nbsp;&mdash; &laquo;Огромный боевой человекоподобный робот&raquo;."
"10","Психология и психиатрия"," "
"11","Альтернативная история"," "
"12","Манипуляции временем",
"13","Клонирование",
"14","The Dark Eye"," "
"15","LitRPG"," "
"16","Вампиры"," "
"17","Античность"," "
"18","Славянская мифология",
"19","Сделка с Дьяволом",
"20","Восставшие из Ада"," "
"21","Хакеры",
"22","Апокалипсис"," "
"23","Искусственный интеллект",
"24","Попаданцы",
"25","Пришельцы"," "
"26","Призраки",
"27","Зомби",
"28","Суперсолдаты",
"29","Выпускной"," "
"30","Скандинавская мифология",
"31","Моряки и пираты",
"32","Динозавры"," "
"33","Disney"," "
"34","Dungeons & Dragons"," "
"35","Юриспруденция",
"36","Киберпанк",
"37","Российская империя",
"38","Политика",
"39","Рак",
"40","Побег из тюрьмы",
"41","Вредные привычки"," "
"42","Вторая мировая и Великая отечественная"," "
"43","Ограбления",
"44","90-е"," "
"45","Обмен разумами",
"46","Разведчики и шпионы",
"47","Стимпанк",
"48","Фокусники и иллюзионисты",
"49","Азартные игры"," "
"50","Армия США на Ближнем Востоке"," "
"51","Антиутопии"," "
"52","Image Comics"," "
"53","Финансовые операции",
"54","Клюква",
"55","60-е"," "
"56","Кайдзю",
"57","Valiant Comics"," "
"58","Журналисты"," "
"59","WH40K"," "
"60","Warhammer Fantasy"," "
