"id";"name";"alt_name";"description";"created_at";"updated_at"
"2";"Эксмо";"";"";"2015-4-23 09:57:33";"2015-4-23 09:57:33"
"3";"NetherRealm Studios";"";"";"2015-4-23 09:59:25";"2015-4-23 09:59:25"
"4";"Warner Bros. Interactive Entertainment";"";"";"2015-4-23 09:59:25";"2015-4-23 09:59:25"
"5";"Азбука-Аттикус";"";"";"2015-4-23 11:02:24";"2015-4-23 11:02:24"
"6";"Image Comics";"";"";"2015-4-25 08:31:19";"2015-4-25 08:31:19"
"7";"Комильфо";"";"";"2015-4-25 08:31:19";"2015-4-25 08:31:19"
"8";"Spiders";"";" ";"2015-4-27 07:09:04";"2018-7-1 11:58:33"
"9";"Focus Home Interactive";"";"";"2015-4-27 07:09:04";"2015-4-27 07:09:04"
"10";"Rocksteady Studios";"";"";"2015-4-27 07:58:22";"2015-4-27 07:58:22"
"11";"Eidos Interactive";"";"";"2015-4-27 08:20:23";"2015-4-27 08:20:23"
"12";"KUBI Games";"";"";"2020-2-22 13:04:19";"2020-2-22 13:04:19"
"13";"Splash Damage";"";"";"2015-4-27 08:27:02";"2015-4-27 08:27:02"
"14";"Armature Studio";"";"";"2015-4-27 08:33:32";"2015-4-27 08:33:32"
"15";"Cinematix Studios";"";"";"2015-4-27 08:47:08";"2015-4-27 08:47:08"
"16";"Sega";"";"";"2015-4-27 08:53:30";"2015-4-27 08:53:30"
"17";"InXile Entertainment";"";"";"2015-4-27 08:57:28";"2015-4-27 08:57:28"
"18";"Ubisoft";"";"";"2015-4-27 08:57:28";"2015-4-27 08:57:28"
"19";"Cryptic Studios";"";"";"2015-4-27 09:06:07";"2015-4-27 09:06:07"
"20";"Perfect World Entertainment";"";"";"2015-4-27 09:06:07";"2015-4-27 09:06:07"
"21";"Blizzard Entertainment";"";"";"2015-4-27 09:12:13";"2015-4-27 09:12:13"
"22";"Sierra Entertainment";"";"";"2015-4-27 09:12:13";"2015-4-27 09:12:13"
"23";"Namco Bandai Games";"";"";"2015-4-27 09:15:14";"2015-4-27 09:15:14"
"24";"Larian Studios";"";" ";"2015-4-27 09:22:10";"2018-7-6 16:56:11"
"25";"dtp entertainment AG";"";"";"2015-4-27 09:22:10";"2015-4-27 09:22:10"
"26";"WOLCEN Studio";"";"";"2020-2-22 13:38:54";"2020-2-22 13:38:54"
"27";"Obsidian";"";"";"2015-4-27 09:29:40";"2015-4-27 09:29:40"
"28";"Atari";"";"";"2015-4-27 09:29:40";"2015-4-27 09:29:40"
"29";"Акелла";"";"";"2015-4-27 09:29:40";"2015-4-27 09:29:40"
"30";"Primal Software";"";"";"2015-4-27 09:34:10";"2015-4-27 09:34:10"
"31";"Strategy First";"";"";"2015-4-27 09:34:10";"2015-4-27 09:34:10"
"32";"Irrational Games";"";"";"2015-4-27 09:37:23";"2015-4-27 09:37:23"
"33";"VU Games";"";"";"2015-4-27 09:37:23";"2015-4-27 09:37:23"
"34";"Новый Диск ";"";"";"2015-4-27 09:37:23";"2015-4-27 09:37:23"
"35";"IGG";"";"";"2015-4-27 09:40:49";"2015-4-27 09:40:49"
"36";"Astrum Nival";"";"";"2015-4-27 09:40:49";"2015-4-27 09:40:49"
"37";"Hello Games";"";"";"2015-4-27 10:53:40";"2015-4-27 10:53:40"
"38";"Limbic Entertainment";"";"";"2015-4-27 11:03:02";"2015-4-27 11:03:02"
"39";"FromSoftware";"";" ";"2015-4-27 11:27:06";"2019-3-28 16:30:06"
"40";"Brave At Night";"";"";"2020-2-22 15:17:52";"2020-2-22 15:17:52"
"41";"Sony Computer Entertainment";"";"";"2015-4-27 11:27:06";"2015-4-27 11:27:06"
"42";"Silver Style Entertainment";"";"";"2015-4-27 11:31:32";"2015-4-27 11:31:32"
"43";"Deep Silver";"";"";"2015-4-27 11:31:32";"2015-4-27 11:31:32"
"44";"Subset Games";"";"";"2015-4-27 11:35:05";"2015-4-27 11:35:05"
"45";"Ion Storm Inc.";"";"";"2015-4-27 11:40:38";"2015-4-27 11:40:38"
"46";"CCR Inc.";"";"";"2015-4-27 11:43:48";"2015-4-27 11:43:48"
"47";"Innova Systems";"";"";"2015-4-27 11:43:48";"2015-4-27 11:43:48"
