"id","name"
"1","Австралия"
"2","Аргентина"
"3","Бельгия"
"4","Бразилия"
"5","Великобритания"
"6","Германия"
"7","Дания"
"8","Индия"
"9","Ирландия"
"10","Испания"
"11","Италия"
"12","Канада"
"13","Китай/Гонконг"
"14","Колумбия"
"15","Нидерланды"
"16","Новая Зеландия"
"17","Польша"
"18","Россия"
"19","СССР"
"20","США"
"21","Турция"
"22","Украина"
"23","Франция"
"24","Швейцария"
"25","Швеция"
"26","Южная Корея"
"27","Япония"
"28","Болгария"
"29","Австрия"
"30","Чехия"
"31","Румыния"
"32","Мексика"
"33","Таиланд"
"36","Пуэрто Рико"
"37","Литва"
"38","Казахстан"
"39","Люксембург"
"40","Куба"
"41","ЮАР"
"42","Финляндия"
"43","Сингапур"
"44","Грузия"
"45","Латвия"
"46","Беларусь"
"49","Израиль"
"50","Чили"
"51","Норвегия"
"52","Эстония"
"53","Хорватия"
"54","Венгрия"
"55","Исландия"
"56","Греция"
"57","Индонезия"
"59","Тайвань"
"60","ОАЭ"
"61","Сербия"
"62","Югославия"
"63","Молдова"
"64","Филиппины"
"65","Макао"
