"id","company_id","game_id"
"21","19","213"
"58","66","10819"
"59","68","10817"
"63","74","5120"
"64","75","5120"
"67","77","7426"
"68","78","9474"
"69","79","1027"
"70","80","7172"
"71","81","7172"
"73","85","5637"
"77","87","6918"
"78","89","9478"
"79","90","2568"
"80","92","3336"
"81","94","3848"
"82","95","4872"
"83","96","1291"
"86","97","7435"
"87","98","7435"
"88","101","3340"
"89","102","9"
"92","107","5688"
"106","114","125"
"108","118","178"
"109","119","198"
"110","120","1294"
"112","106","324"
"114","123","347"
"115","124","412"
"118","16","479"
"120","125","436"
"122","128","45"
"123","129","45"
"222","74","5939"
"237","200","2053"
"249","69","2097"
"267","221","2205"
"268","221","10248"
"269","221","1225"
"282","225","2204"
"283","74","3251"
"284","226","3251"
"365","258","10246"
"366","258","250"
"367","258","1809"
"368","259","1809"
"369","135","1809"
"370","260","1809"
"371","79","7851"
"372","79","10056"
"373","262","10056"
"374","41","6971"
"375","68","6971"
"383","266","4614"
"384","138","1470"
"385","267","1470"
"389","138","3182"
"401","271","3778"
"402","271","8319"
"403","272","3067"
"406","274","2939"
"409","278","2762"
"411","280","2735"
"422","293","9400"
"423","293","6532"
"443","265","2968"
"471","308","2770"
"472","309","2770"
"474","160","5160"
"480","312","9080"
"481","212","7206"
"482","68","4331"
"483","307","9220"
"484","106","3642"
"485","313","3642"
"486","105","3642"
"491","69","3660"
"492","321","3660"
"493","69","732"
"494","69","3603"
"495","69","10786"
"496","322","5875"
"497","69","473"
"498","69","8514"
"499","69","7517"
"536","18","667"
"542","39","3699"
"547","337","3706"
"571","292","3736"
"572","343","7627"
"573","344","7627"
"579","351","3728"
"580","354","3732"
"582","301","7501"
"583","139","7499"
"584","355","7499"
"589","359","4647"
"590","362","7602"
"591","359","10587"
"645","30","4929"
"646","380","2074"
"666","151","5424"
"674","390","5325"
"675","391","5245"
"676","392","5245"
"679","394","5492"
"683","205","6366"
"688","68","4847"
"689","399","4847"
"690","122","4900"
"691","68","4900"
"693","400","6261"
"707","402","5998"
"709","408","5974"
"716","412","5793"
"721","419","5776"
"772","437","10696"
"774","439","9990"
"775","16","5567"
"776","440","5567"
"812","284","8451"
