"id","person_id","film_id"
"2","8","64"
"4","25","4134"
"5","28","4002"
"6","29","1785"
"7","29","3673"
"8","34","1285"
"9","34","5694"
"12","40","5784"
"14","41","1706"
"16","46","3512"
"17","46","5050"
"19","55","2771"
"20","60","325"
"21","60","3336"
"23","62","4648"
"24","63","1318"
"26","64","3689"
"27","65","621"
"28","67","2829"
"29","67","4589"
"30","69","2734"
"31","73","1865"
"36","84","2692"
"38","84","4113"
"39","84","4325"
"40","84","5137"
"41","84","5484"
"42","84","5981"
"43","84","6264"
"45","94","6904"
"47","98","1543"
"49","98","4483"
"50","98","6234"
"57","13151","5866"
"63","109","6711"
"64","112","66"
"65","112","778"
"66","112","823"
"67","112","1152"
"68","112","5279"
"69","112","5881"
"72","117","295"
"73","117","970"
"74","117","1180"
"75","117","2857"
"76","117","3552"
"77","117","4428"
"78","117","4525"
"79","117","5267"
"80","117","5298"
"81","117","6693"
"82","117","6786"
"83","122","1214"
"84","127","628"
"85","127","6171"
"86","127","6304"
"89","134","1653"
"90","134","3656"
"92","138","29"
"94","138","4947"
"96","138","5567"
"97","138","6811"
"99","141","2960"
"100","142","2960"
"103","154","6641"
"104","158","4586"
"106","160","4279"
"107","160","6692"
"108","164","1031"
"111","165","6892"
"112","166","796"
"114","169","6539"
"118","178","4959"
"119","180","2044"
"120","181","1289"
"121","181","4338"
"122","183","6027"
"123","186","3456"
"124","186","5292"
"125","186","5578"
"126","186","6489"
"128","188","6812"
"129","190","5084"
"130","191","246"
"131","191","853"
"132","191","1672"
"133","191","2072"
"134","191","2918"
"135","191","2942"
"136","191","3338"
"137","191","3901"
"138","191","3903"
"139","191","4112"
"140","191","4240"
"141","191","4516"
"143","196","2403"
"144","196","2983"
"145","206","5590"
"146","206","6039"
"147","210","1698"
"148","215","2673"
"151","220","314"
"152","220","3174"
"153","220","6022"
"154","220","6865"
"155","220","6967"
"158","225","4463"
"159","235","213"
"160","238","518"
"161","238","4495"
"162","238","6788"
"163","244","546"
"164","254","3632"
"165","259","1045"
"166","259","4341"
"168","270","4914"
"170","276","1342"
"171","276","2127"
"172","276","4227"
"173","277","889"
"174","277","1459"
"175","277","5388"
"176","281","3786"
"177","282","1262"
"178","282","2452"
"179","282","4286"
"180","282","6643"
"181","283","1832"
"182","284","1007"
"183","284","1278"
"184","284","1560"
"185","284","2859"
"186","284","3658"
"187","285","1007"
"188","285","1278"
"189","285","1560"
"190","285","2859"
"191","285","3658"
"192","288","462"
"194","289","1116"
"195","289","1126"
"196","289","3820"
"197","289","3917"
"198","289","4829"
"199","291","929"
"200","292","5010"
"201","292","6848"
"202","304","459"
"203","304","1639"
