"id","collection_id","element_id","element_type"
"16","9","3728","Game"
"21","11","5325","Game"
"22","9","5974","Game"
"23","1","5793","Game"
"24","9","5776","Game"
"31","1","7489","Film"
"32","1","7490","Film"
"33","1","7491","Film"
"34","2","7065","Game"
"35","2","7100","Game"
"46","15","18025","Book"
"67","2","3314","Game"
"68","2","8055","Game"
"69","2","8285","Game"
"71","2","1503","Game"
"72","2","6991","Game"
"73","2","278","Game"
"74","2","5750","Game"
"76","2","5868","Game"
"77","2","7852","Game"
"150","20","10457","Game"
"151","27","10457","Game"
"152","17","10365","Game"
"200","17","896","Film"
"256","9","8269","Game"
"268","3","5609","Film"
"354","1","1521","Game"
"378","26","676","Game"
"379","26","10065","Game"
"380","26","8786","Game"
"383","9","9404","Game"
"389","33","7648","Film"
"400","10","2885","Game"
"427","39","4269","Film"
"455","42","7714","Film"
"580","1","17812","Book"
"581","47","17812","Book"
"582","11","17812","Book"
"603","47","10466","Game"
"604","47","10162","Game"
"608","47","1195","Game"
"617","47","18572","Book"
"625","1","7804","Film"
"638","42","7813","Film"
"639","3","7814","Film"
"640","22","7814","Film"
"681","12","3770","Film"
"683","25","7850","Film"
"692","12","8919","Game"
"707","47","439","Game"
"746","1","18601","Book"
"766","2","18620","Book"
"769","9","7885","Film"
"774","35","7886","Film"
"776","3","12016","Book"
"777","46","2166","Book"
"778","10","2166","Book"
"796","2","7890","Film"
"798","12","18634","Book"
"808","30","18644","Book"
"815","2","18652","Book"
"820","2","18656","Book"
"833","12","18675","Book"
"847","1","18685","Book"
"848","1","18686","Book"
"857","21","10570","Game"
"891","47","18720","Book"
"892","47","18719","Book"
"896","31","10868","Game"
"901","2","18724","Book"
"902","2","18725","Book"
"908","12","7930","Game"
"956","2","18746","Book"
"957","1","18747","Book"
"965","2","18759","Book"
"987","2","18791","Book"
"988","52","18792","Book"
"994","17","8051","Film"
"995","55","8052","Film"
"996","2","18796","Book"
"1025","2","18124","Book"
"1026","2","18824","Book"
"1066","1","18838","Book"
"1082","2","18844","Book"
"1097","11","13698","Game"
"1098","38","13698","Game"
"1103","2","18859","Book"
"1112","2","18865","Book"
"1114","2","18868","Book"
"1140","1","18881","Book"
"1143","2","18884","Book"
"1147","2","18888","Book"
"1148","2","18891","Book"
"1150","1","18894","Book"
"1154","1","18898","Book"
"1155","10","18899","Book"
"1156","2","18902","Book"
"1158","44","18904","Book"
"1159","9","18904","Book"
"1160","2","18905","Book"
"1163","44","22828","Game"
"1173","1","18913","Book"
"1176","2","18916","Book"
"1178","36","18911","Book"
"1213","3","18925","Book"
"1216","27","18927","Book"
"1217","45","8211","Film"
"1218","40","8211","Film"
"1219","1","8215","Film"
"1222","2","18930","Book"
"1223","27","18930","Book"
"1227","42","1614","Book"
"1235","53","18935","Book"
"1238","1","18938","Book"
"1241","2","18942","Book"
"1246","2","18945","Book"
"1263","2","18956","Book"
"1266","2","18959","Book"
"1267","30","18960","Book"
"1268","2","18960","Book"
"1273","2","18964","Book"
"1274","3","15643","Game"
"1275","1","18965","Book"
"1276","1","18783","Book"
"1297","3","5762","Book"
"1298","3","18970","Book"
"1322","3","4988","Book"
"1323","10","17889","Book"
"1324","45","8279","Film"
"1329","31","18508","Book"
"1330","31","18518","Book"
"1331","31","18529","Book"
"1332","31","18530","Book"
"1333","48","5121","Book"
"1334","2","8284","Film"
"1348","1","8285","Film"
"1354","24","5040","Book"
"1361","42","8888","Game"
"1380","12","18997","Book"
"1381","9","19000","Book"
"1382","51","8314","Film"
"1384","44","9596","Book"
"1385","11","9596","Book"
"1387","27","8319","Film"
"1388","2","19004","Book"
"1389","12","8325","Film"
"1392","44","13560","Book"
"1406","47","19015","Book"
"1407","11","19018","Book"
"1422","1","19032","Book"
"1440","2","19040","Book"
"1452","22","19045","Book"
"1453","3","19045","Book"
"1467","27","8425","Film"
"1485","2","19025","Book"
"1498","40","15107","Game"
"1507","47","4904","Film"
"1508","36","7868","Film"
"1509","3","19078","Book"
"1516","38","8469","Film"
"1517","50","8470","Film"
"1520","2","19083","Book"
"1521","47","19084","Book"
"1522","47","18571","Book"
"1523","11","18571","Book"
"1524","36","16114","Game"
"1527","2","19085","Book"
"1528","2","19087","Book"
"1529","1","19088","Book"
"1530","12","19088","Book"
"1534","2","18770","Book"
"1535","2","19089","Book"
"1537","2","19090","Book"
"1538","1","19092","Book"
"1539","1","18963","Book"
"1540","2","19093","Book"
"1542","1","19095","Book"
"1543","2","19096","Book"
"1544","2","19097","Book"
"1547","3","7256","Book"
"1553","19","8488","Film"
"1554","43","8488","Film"
"1555","54","8489","Film"
"1556","46","8489","Film"
"1562","2","19106","Book"
"1563","2","19107","Book"
"1564","1","19108","Book"
"1566","1","19110","Book"
"1567","1","19111","Book"
"1568","2","19113","Book"
"1569","16","18910","Book"
"1570","1","19115","Book"
"1571","2","19116","Book"
"1572","1","19117","Book"
"1573","2","19118","Book"
"1574","2","19121","Book"
"1575","2","18961","Book"
"1576","1","19122","Book"
"1577","2","19124","Book"
"1578","2","19125","Book"
"1580","57","19126","Book"
"1581","2","19127","Book"
"1582","2","19128","Book"
"1583","1","19129","Book"
"1584","1","19130","Book"
"1586","2","19132","Book"
"1587","1","19133","Book"
"1589","1","19027","Book"
"1590","2","19134","Book"
"1591","2","19135","Book"
"1592","2","19136","Book"
"1593","2","19137","Book"
"1595","57","19139","Book"
"1596","1","19140","Book"
"1600","2","19143","Book"
"1601","2","19144","Book"
"1602","2","19145","Book"
"1603","2","19146","Book"
"1607","1","19150","Book"
"1608","2","19151","Book"
"1611","2","19153","Book"
"1612","36","18170","Game"
"1618","57","19157","Book"
"1619","1","19159","Book"
"1620","1","19160","Book"
"1622","1","19163","Book"
"1623","2","19164","Book"
"1628","49","8502","Film"
"1629","41","8502","Film"
"1630","10","8502","Film"
"1631","35","8502","Film"
"1636","2","8503","Film"
"1637","12","8503","Film"
"1638","40","8503","Film"
"1639","24","8503","Film"
"1642","2","19165","Book"
"1645","1","7082","Film"
"1646","1","7083","Film"
"1648","16","6405","Film"
"1650","1","23","Film"
"1651","43","7055","Film"
"1652","4","210","Film"
"1657","12","7107","Film"
"1665","12","4515","Film"
"1667","9","6514","Film"
"1668","10","2724","Film"
"1669","16","6156","Film"
"1670","51","272","Film"
"1678","43","4857","Film"
"1679","33","8517","Film"
"1680","43","8517","Film"
"1682","44","141","Film"
"1685","1","2064","Film"
"1686","1","3620","Film"
"1688","16","8519","Film"
"1689","16","5648","Film"
"1692","2","19147","Book"
"1693","36","2961","Film"
"1694","21","2961","Film"
"1695","47","4351","Film"
"1696","22","5105","Film"
"1697","2","19167","Book"
"1699","2","19169","Book"
"1700","18","3884","Film"
"1701","12","6180","Film"
"1702","16","3904","Film"
"1704","44","603","Film"
"1706","12","5879","Film"
"1707","10","2100","Film"
"1708","45","683","Film"
"1709","16","3798","Film"
"1710","12","3205","Film"
"1712","1","86","Film"
"1713","25","4143","Film"
"1714","2","5385","Film"
"1715","2","2217","Film"
"1716","8","4616","Film"
"1717","25","5797","Film"
"1720","12","6901","Film"
"1721","11","6957","Film"
"1724","46","4957","Film"
"1725","46","6474","Film"
"1726","55","6474","Film"
"1727","25","6311","Film"
"1729","41","189","Film"
"1730","25","6628","Film"
"1731","10","6628","Film"
"1732","19","3359","Film"
"1733","2","3359","Film"
"1735","25","1937","Film"
"1739","42","3801","Film"
"1745","23","7981","Game"
"1751","16","3425","Film"
"1753","2","3535","Film"
"1754","2","2047","Film"
"1756","51","4447","Film"
"1757","2","126","Film"
"1761","13","6361","Film"
"1763","23","4501","Film"
"1764","10","4976","Film"
"1765","12","4346","Film"
