"id","element_id","element_type","relation_id","to_id","to_type"
"1","4003","Film","2","7796","Film"
"2","7796","Film","1","4003","Film"
"3","3780","Film","2","7796","Film"
"4","7796","Film","1","3780","Film"
"5","679","Film","2","7796","Film"
"6","7796","Film","1","679","Film"
"7","725","Film","2","7796","Film"
"8","7796","Film","1","725","Film"
"9","4236","Film","2","7796","Film"
"10","7796","Film","1","4236","Film"
"11","2776","Film","2","7796","Film"
"12","7796","Film","1","2776","Film"
"13","4003","Film","2","2776","Film"
"14","2776","Film","1","4003","Film"
"15","3780","Film","2","2776","Film"
"16","2776","Film","1","3780","Film"
"17","679","Film","2","2776","Film"
"18","2776","Film","1","679","Film"
"19","725","Film","2","2776","Film"
"20","2776","Film","1","725","Film"
"21","4236","Film","2","2776","Film"
"22","2776","Film","1","4236","Film"
"23","4003","Film","2","4236","Film"
"24","4236","Film","1","4003","Film"
"25","3780","Film","2","4236","Film"
"26","4236","Film","1","3780","Film"
"27","679","Film","2","4236","Film"
"28","4236","Film","1","679","Film"
"29","725","Film","2","4236","Film"
"30","4236","Film","1","725","Film"
"31","4003","Film","2","725","Film"
"32","725","Film","1","4003","Film"
"33","3780","Film","2","725","Film"
"34","725","Film","1","3780","Film"
"35","679","Film","2","725","Film"
"36","725","Film","1","679","Film"
"37","4003","Film","2","679","Film"
"38","679","Film","1","4003","Film"
"39","3780","Film","2","679","Film"
"40","679","Film","1","3780","Film"
"41","4003","Film","2","3780","Film"
"42","3780","Film","1","4003","Film"
"43","9807","Game","1","6075","Game"
"44","6075","Game","2","9807","Game"
"45","10849","Game","1","6075","Game"
"46","6075","Game","2","10849","Game"
"47","1711","Game","1","6075","Game"
"48","6075","Game","2","1711","Game"
"49","1441","Game","1","6075","Game"
"50","6075","Game","2","1441","Game"
"51","18943","Book","1","18788","Book"
"52","18788","Book","2","18943","Book"
"53","18166","Book","2","18788","Book"
"54","18788","Book","1","18166","Book"
"55","7182","Film","2","8236","Film"
"56","8236","Film","1","7182","Film"
"57","18170","Book","2","18810","Book"
"58","18810","Book","1","18170","Book"
"59","18550","Book","2","18810","Book"
"60","18810","Book","1","18550","Book"
"61","18170","Book","1","18550","Book"
"62","18550","Book","2","18170","Book"
"63","3806","Film","2","2356","Film"
"64","2356","Film","1","3806","Film"
"65","1193","Film","2","2356","Film"
"66","2356","Film","1","1193","Film"
"67","202","Film","5","2356","Film"
"68","2356","Film","5","202","Film"
"69","3806","Film","1","1193","Film"
"70","1193","Film","2","3806","Film"
"71","202","Film","5","3806","Film"
"72","3806","Film","5","202","Film"
"73","202","Film","5","1193","Film"
"74","1193","Film","5","202","Film"
"75","1102","Book","1","8727","Book"
"76","8727","Book","2","1102","Book"
"77","2179","Book","1","8727","Book"
"78","8727","Book","2","2179","Book"
"79","2179","Book","1","1102","Book"
"80","1102","Book","2","2179","Book"
"81","7931","Book","1","11382","Book"
"82","11382","Book","2","7931","Book"
"83","8312","Book","1","11382","Book"
"84","11382","Book","2","8312","Book"
"87","359","Book","1","11382","Book"
"88","11382","Book","2","359","Book"
"89","1246","Book","1","11382","Book"
"90","11382","Book","2","1246","Book"
"91","12284","Book","1","11382","Book"
"92","11382","Book","2","12284","Book"
"93","8312","Book","1","7931","Book"
"94","7931","Book","2","8312","Book"
"95","359","Book","1","7931","Book"
"96","7931","Book","2","359","Book"
"97","1246","Book","1","7931","Book"
"98","7931","Book","2","1246","Book"
"99","12284","Book","1","7931","Book"
"100","7931","Book","2","12284","Book"
"101","359","Book","1","8312","Book"
"102","8312","Book","2","359","Book"
"103","1246","Book","1","8312","Book"
"104","8312","Book","2","1246","Book"
"105","12284","Book","1","8312","Book"
"106","8312","Book","2","12284","Book"
"107","1246","Book","1","359","Book"
"108","359","Book","2","1246","Book"
"109","12284","Book","1","359","Book"
"110","359","Book","2","12284","Book"
"111","12284","Book","1","1246","Book"
"112","1246","Book","2","12284","Book"
"113","18518","Book","1","18508","Book"
"114","18508","Book","2","18518","Book"
"115","18529","Book","1","18508","Book"
"116","18508","Book","2","18529","Book"
"117","18530","Book","1","18508","Book"
"118","18508","Book","2","18530","Book"
"119","18529","Book","1","18518","Book"
"120","18518","Book","2","18529","Book"
"121","18530","Book","1","18518","Book"
"122","18518","Book","2","18530","Book"
"123","18530","Book","1","18529","Book"
"124","18529","Book","2","18530","Book"
"125","8466","Game","2","3807","Game"
"126","3807","Game","1","8466","Game"
"127","7453","Game","1","3807","Game"
"128","3807","Game","2","7453","Game"
"129","15463","Game","2","3807","Game"
"130","3807","Game","1","15463","Game"
"131","8488","Game","1","3807","Game"
"132","3807","Game","2","8488","Game"
"133","6136","Game","1","3807","Game"
"134","3807","Game","2","6136","Game"
"135","15463","Game","1","8466","Game"
"136","8466","Game","2","15463","Game"
"137","7453","Game","1","8466","Game"
"138","8466","Game","2","7453","Game"
"139","8488","Game","1","8466","Game"
"140","8466","Game","2","8488","Game"
"141","6136","Game","1","8466","Game"
"142","8466","Game","2","6136","Game"
"143","15463","Game","2","7453","Game"
"144","7453","Game","1","15463","Game"
"145","8488","Game","1","7453","Game"
"146","7453","Game","2","8488","Game"
"147","6136","Game","1","7453","Game"
"148","7453","Game","2","6136","Game"
"149","8488","Game","1","15463","Game"
"150","15463","Game","2","8488","Game"
"151","6136","Game","1","15463","Game"
"152","15463","Game","2","6136","Game"
"153","6136","Game","1","8488","Game"
"154","8488","Game","2","6136","Game"
"155","2268","Film","2","8293","Film"
"156","8293","Film","1","2268","Film"
"157","7426","Film","2","8293","Film"
"158","8293","Film","1","7426","Film"
"159","2268","Film","2","7426","Film"
"160","7426","Film","1","2268","Film"
"161","2811","Game","1","22614","Game"
"162","22614","Game","2","2811","Game"
"165","16478","Game","1","22614","Game"
"166","22614","Game","2","16478","Game"
"167","16478","Game","1","2811","Game"
"168","2811","Game","2","16478","Game"
"169","5040","Book","1","5031","Book"
"170","5031","Book","2","5040","Book"
"171","5557","Book","1","5031","Book"
"172","5031","Book","2","5557","Book"
"173","10566","Book","1","5031","Book"
"174","5031","Book","2","10566","Book"
"175","10291","Book","1","5031","Book"
"176","5031","Book","2","10291","Book"
"177","11192","Book","1","5031","Book"
"178","5031","Book","2","11192","Book"
"179","5557","Book","1","5040","Book"
"180","5040","Book","2","5557","Book"
"181","10566","Book","1","5040","Book"
"182","5040","Book","2","10566","Book"
"183","10291","Book","1","5040","Book"
"184","5040","Book","2","10291","Book"
"185","11192","Book","1","5040","Book"
"186","5040","Book","2","11192","Book"
"187","10566","Book","1","5557","Book"
"188","5557","Book","2","10566","Book"
"189","10291","Book","1","5557","Book"
"190","5557","Book","2","10291","Book"
"191","11192","Book","1","5557","Book"
"192","5557","Book","2","11192","Book"
"193","10291","Book","1","10566","Book"
"194","10566","Book","2","10291","Book"
"195","11192","Book","1","10566","Book"
"196","10566","Book","2","11192","Book"
"197","11192","Book","1","10291","Book"
"198","10291","Book","2","11192","Book"
"199","18690","Book","2","18691","Book"
"200","18691","Book","1","18690","Book"
"201","18921","Book","1","18691","Book"
"202","18691","Book","2","18921","Book"
"203","18921","Book","1","18690","Book"
