"id";"name";"alt_name";"description";"element_type"
"1";"Античная и старинная литература";"";"";"Book"
"2";"Проза XIX-XX веков";"";"";"Book"
"3";"Детективы и боевики";"";"";"Book"
"4";"Любовный роман";"";"";"Book"
"5";"Мистика, ужасы, триллеры";"";"";"Book"
"6";"Современная проза";"";"";"Book"
"7";"Фантастика и фэнтези";"";"Научная фантастика основывается на фантастических допущениях (вымысле) в области науки, включая как точные, так и естественные, и гуманитарные науки. Научная фантастика описывает вымышленные технологии и научные открытия, контакты с нечеловеческим разумом, возможное будущее или альтернативный ход истории, а также влияние этих допущений на человеческие общество и личность. Действие научной фантастики часто происходит в будущем, что роднит этот жанр с футурологией.

Фэнтези (от англ. fantasy&nbsp;&mdash; &laquo;фантазия&raquo;)&nbsp;&mdash; жанр, основанный на использовании мифологических и сказочных мотивов. Произведения фэнтези чаще всего напоминают историко-приключенческий роман, действие которого происходит в вымышленном мире, близком к реальному Средневековью, герои которого сталкиваются со сверхъестественными явлениями и существами. Зачастую фэнтези построено на основе архетипических сюжетов.";"Book"
"8";"Публицистика и нон-фикшн";"";"";"Book"
"11";"Культура и искусство";"";"";"Book"
"12";"Научно-популярная и образовательная литература";"";"";"Book"
"13";"Поэзия";"";"";"Book"
"14";"Приключения и исторический роман";"";"";"Book"
"15";"Комиксы и манга";"";"";"Book"
"16";"Энциклопедии и справочники";"";"";"Book"
"17";"Аниме";"";"";"Film"
"19";"Биография";"";"";"Film"
"20";"Экшены";"";"";"Film"
"22";"Военные фильмы";"";"";"Film"
"23";"Детективы";"";"";"Film"
"24";"Документальные";"";"";"Film"
"25";"Драмы";"";"";"Film"
"27";"Исторические фильмы";"";"";"Film"
"28";"Комедии";"";"";"Film"
"29";"Короткометражные";"";"";"Film"
"30";"Криминал";"";"";"Film"
"31";"Мелодрамы";"";"";"Film"
"32";"Мистика";"";"";"Film"
"35";"Мультфильмы";"";"";"Film"
"36";"Мюзиклы";"";"";"Film"
"37";"Научные";"";"";"Film"
"38";"Образовательные программы";"";"";"Film"
"39";"Приключения";"";"";"Film"
"42";"Сериалы";"";"";"Film"
"44";"Спорт";"";"";"Film"
"45";"Триллеры";"";"";"Film"
"46";"Ужасы";"";"";"Film"
"47";"Фантастика";"";"";"Film"
"50";"Эротика";"";"";"Film"
"52";"MMORPG";"";"";"Game"
"53";"Аркады";"";"";"Game"
"54";"Браузерные игры";"";"";"Game"
"57";"Логические игры";"";"";"Game"
"59";"Квесты";"";"";"Game"
"60";"Ролевые игры";"";"";"Game"
"61";"Симуляторы";"";"";"Game"
"62";"Спортивные игры";"";"";"Game"
"63";"Стратегии";"";"";"Game"
"65";"Экшен";"";"";"Game"
"66";"Эротические игры";"";"";"Game"
"67";"Рассказы";"";"";"Book"
"70";"Фэнтези";"";"";"Film"
"71";"Коллекционные карточные игры";"";"";"Game"
"76";"Файтинги";"";"";"Game"
"77";"Инди";"";"";"Game"
"79";"Вестерны";"";"";"Film"
"80";"Семейные";"";"";"Film"
"82";"Хорроры";"";"";"Game"
"84";"TBS";"";"";"Game"
"88";"Биографии";"";"";"Book"
"89";"Сетевые игры";"";"";"Game"
"90";"Мотивационная литература";"";"";"Book"
"91";"FPS";"";"";"Game"
"92";"Гоночные игры";"";"";"Game"
"93";"Музыкальные игры";"";"";"Game"
"94";"Учебная и техническая литература";"";"";"Book"
"95";"Roguelike";"";"";"Game"
"96";"JRPG";"";"";"Game"
"97";"Песочницы";"";"";"Game"
"98";"RTS";"";"";"Game"
"99";"MOBA";"";"";"Game"
"104";"Стелс";"";"";"Game"
"105";"Tower Defense";"";"";"Game"
"107";"8-bit";"";"";"Album"
"108";"Acid";"";"";"Album"
"109";"Acoustic";"";"";"Album"
"110";"Alternative";"";"";"Album"
"111";"Ambient";"";"";"Album"
"112";"Art";"";"";"Album"
"113";"Ballad";"";"";"Album"
"114";"Metal";"";"";"Album"
"115";"Blues";"";"";"Album"
"116";"Celtic";"";"";"Album"
"117";"Chanson";"";"";"Album"
"118";"Chillout";"";"";"Album"
"119";"Chiptune";"";"";"Album"
"120";"Church";"";"";"Album"
"121";"Classical";"";"";"Album"
"122";"Country";"";"";"Album"
"123";"Dance";"";"";"Album"
"124";"Darkwave";"";"";"Album"
"125";"Disco";"";"";"Album"
"126";"Drum'n'Bass";"";"";"Album"
"127";"Dubstep";"";"";"Album"
"128";"Electronic";"";"";"Album"
"129";"Emo";"";"";"Album"
"130";"Ethnic";"";"";"Album"
"131";"Experimental";"";"";"Album"
"132";"Folk";"";"";"Album"
"133";"Funk";"";"";"Album"
"134";"Fusion";"";"";"Album"
"135";"Gospel";"";"";"Album"
"136";"Gothic";"";"";"Album"
"137";"Grunge";"";"";"Album"
"138";"Hard";"";"";"Album"
"139";"Hip-Hop";"";"";"Album"
"140";"House";"";"";"Album"
"141";"Indie";"";"";"Album"
"142";"Industrial";"";"";"Album"
"143";"Jazz";"";"";"Album"
"144";"Noise";"";"";"Album"
"145";"Opera";"";"";"Album"
"146";"OST";"";"";"Album"
"147";"Pop";"";"";"Album"
"148";"Post";"";"";"Album"
"149";"Punk";"";"";"Album"
"150";"Rap";"";"";"Album"
"151";"Reggae";"";"";"Album"
"152";"R'n'B";"";"";"Album"
"153";"Romance";"";"";"Album"
"154";"Ska";"";"";"Album"
"155";"Soul";"";"";"Album"
"156";"Symphonic";"";"";"Album"
"157";"Techno";"";"";"Album"
"158";"Trance";"";"";"Album"
"159";"Rock";"";"";"Album"
"160";"Power";"";"";"Album"
"161";"Doom";"";"";"Album"
"162";"Psychedelic";"";"";"Album"
"163";"Визуальные романы";"";"";"Game"
"165";"Артбуки";"";"";"Book"
"166";"Abstract";"";"";"Album"
"167";"VR";"";"";"Game"
"168";"Battle Royale";"";"";"Game"
"169";"Rule63";"";"";"Meme"
"170";"Strip";"";"";"Meme"
"171";"Video";"";"";"Meme"
"172";"Phrase";"";"";"Meme"
"173";"Hardcore";"";"";"Album"
