"id","name","alt_name","photo","description","created_at","updated_at"
"1","С. Дж. Кларксон",,,"С. Дж. Кларксон (англ. S. J. Clarkson)&nbsp;&mdash; британский режиссёр кино и телевидения.","2000-01-00 00:00:00","2019-03-12 15:03:14"
"2","Алана Каритерс",,,,"2020-02-13 23:50:03","2020-02-13 23:50:03"
"3","Ант Тимпсон",,,,"2020-02-13 16:07:54","2020-02-13 16:07:54"
"4","Эрик Гудман",,,,"2000-01-00 00:00:00","2015-04-20 08:13:06"
"5","Джейсон Айзенер",,,,"2000-01-00 00:00:00","2015-04-20 08:13:55"
"6","Келли Сенекал",,,,"2000-01-00 00:00:00","2015-04-20 08:14:22"
"7","Тоби Харвард",,,,"2020-02-13 16:07:54","2020-02-13 16:07:54"
"8","Оливье Орле",,,,"2000-01-00 00:00:00","2015-04-20 08:23:53"
"9","Гарфилд Уилсон",,,,"2020-02-13 16:07:54","2020-02-13 16:07:54"
"10","Рэндолл Кейнс",,,,"2000-01-00 00:00:00","2015-04-20 08:24:18"
"11","Кертис Л. Джонсон",,," ","2000-01-00 00:00:00","2019-08-02 11:23:30"
"12","Георгий Зотов",,," ","2000-01-00 00:00:00","2019-08-02 10:55:16"
"13","Мадлен Сами",,,,"2020-02-13 16:07:54","2020-02-13 16:07:54"
"14","Дебби Райан",,,,"2020-02-13 23:50:03","2020-02-13 23:50:03"
"15","А. Бонди",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"16","А. Ватьян",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"17","А. Волков",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"18","Джон Рейнольдс",,,,"2020-02-13 23:50:03","2020-02-13 23:50:03"
"19","А. Карпов",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"20","Александр Кумма",,,,"2000-01-00 00:00:00","2015-04-20 08:25:25"
"21","Пит Дэвидсон",,,,"2020-02-13 23:55:47","2020-02-13 23:55:47"
"22","А. Маркевич",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"23","Соня Брага",,,,"2020-02-13 23:55:47","2020-02-13 23:55:47"
"24","Алексей Шелманов",,,,"2000-01-00 00:00:00","2015-04-20 08:28:00"
"25","Аамир Кхан",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"26","Аарон Гузиковский",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"27","Тору Китахата",,,,"2020-02-14 00:29:46","2020-02-14 00:29:46"
"28","Аарон Зельцер",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"29","Аарон Норрис",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"30","Аарон Ричард Голуб",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"31","Аарон Стернс",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"32","Аарон Стокард",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"33","Шон Экинс",,,,"2020-02-14 00:29:46","2020-02-14 00:29:46"
"34","Аббас Кияростами",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"35","Абдел Рауф Дафри",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"36","Абделатиф Кешиш",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"37","Абдулах Сидран",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"38","Абе Берроуз",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"39","Абе Квонг",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"40","Абель Феррара",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"41","Абель Ферри",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"42","Абрахам Маслоу",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"43","Абрахам Меррит",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"44","Абрахам Тейлор",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"45","Аввакум Протопоп",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"46","Авдотья Андреевна Смирнова",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"47","Авдотья Смирнова",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"48","Авенир Григорьевич Зак",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"49","Джейсон ДеМарко",,,,"2020-02-14 00:29:46","2020-02-14 00:29:46"
"50","Мотому Киёкава",,,,"2020-02-14 00:29:46","2020-02-14 00:29:46"
"51","Неизвестный автор",,," ","2000-01-00 00:00:00","2018-11-19 16:19:32"
"52","Агата Кристи",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"53","Агнес Каффен",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"54","Кейт Херрон",,,,"2020-02-19 23:05:33","2020-02-19 23:05:33"
"55","Агнешка Холланд",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"56","Агния Барто",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"57","Агния Львовна Барто",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"58","Агота Кристоф",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"59","Агустин Альмодовар",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"60","Агустин Диас Янес",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"61","Ада Баскина",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"62","Ада Неретниеце",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"63","Адам Бенжамин Эллиот",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"64","Адам Брукс",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"65","Адам Гираш",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"66","Адам Голдберг",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"67","Адам Грин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"68","Софи Гудхарт",,,,"2020-02-19 23:05:33","2020-02-19 23:05:33"
"69","Адам Кейн",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"70","Адам Кретнер",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"71","Адам Купер",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"72","Лори Нанн",,,,"2020-02-19 23:05:33","2020-02-19 23:05:33"
"73","Адам Маккей",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"74","Адам Рид",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"75","Адам Рифкин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"76","Адам Смит",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"77","Адам Сэндлер",,," ","2000-01-00 00:00:00","2018-10-02 12:14:25"
"78","Адам Фолдс",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"79","Адам Фолкс",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"80","Биша К. Али",,,,"2020-02-19 23:05:33","2020-02-19 23:05:33"
"81","Адам Херц",,,,"2000-01-00 00:00:00","2018-02-07 09:20:53"
"82","Адам Хоровиц",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"83","Адам Шейнман",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"84","Адам Шенкман",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"85","Адам Щтикель",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"86","Адель Лэнг",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"87","Адженоре Инкроччи",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"88","Ади Хасак",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"89","Адольф Грин",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"90","Адольфо Валор",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"91","Адольфо Касарес",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"92","Адриан Грюнберг",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"93","Адриан Коул",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"94","Адриан Шерголд",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"95","Аза Тахо-Годи",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"96","Азия Ардженто",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"97","Аи Язава",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"98","Аида Зябликова",,," ","2000-01-00 00:00:00","2019-04-16 19:10:39"
"99","Аидас Пуклевичус",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"100","Джэми Кэмпбелл",,,,"2020-02-19 23:05:33","2020-02-19 23:05:33"
"101","Айвэн Менчелл",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
"102","Джон Дженнингс",,,,"2020-02-19 23:05:33","2020-02-19 23:05:33"
"103","Саймон Моррис",,,,"2020-02-19 23:05:33","2020-02-19 23:05:33"
"104","Айзек Азимов",,,,"2000-01-00 00:00:00","2000-01-00 00:00:00"
