"id","platform_id","game_id"
"5","14","4"
"7","5","6"
"8","6","6"
"9","14","6"
"10","10","6"
"11","16","6"
"13","6","8"
"16","14","11"
"21","16","15"
"22","14","16"
"24","14","18"
"25","10","18"
"26","13","18"
"27","16","18"
"35","14","21"
"37","4","23"
"38","4","23"
"39","14","23"
"47","4","29"
"48","4","29"
"49","14","29"
"69","14","43"
"75","14","46"
"76","14","47"
"95","14","56"
"98","6","58"
"99","10","58"
"100","16","58"
"119","14","70"
"122","6","72"
"132","14","77"
"134","14","79"
"136","6","81"
"137","14","81"
"138","10","81"
"139","16","81"
"145","1","84"
"146","14","84"
"147","10","85"
"148","6","86"
"155","2","90"
"156","14","90"
"157","14","91"
"162","14","95"
"172","14","101"
"175","14","104"
"176","14","105"
"177","10","105"
"178","16","105"
"182","14","109"
"183","9","109"
"217","9","126"
"218","10","127"
"219","16","127"
"225","14","131"
"226","10","131"
"227","16","131"
"231","14","134"
"232","14","135"
"240","14","140"
"268","14","154"
"275","9","157"
"278","9","159"
"286","14","163"
"294","14","169"
"295","14","170"
"296","20","170"
"305","14","176"
"331","5","187"
"335","14","190"
"338","14","193"
"339","10","193"
"340","13","193"
"341","16","193"
"349","10","197"
"356","14","200"
"359","14","202"
"366","14","205"
"369","14","207"
"371","14","209"
"385","14","218"
"408","2","231"
"409","4","231"
"410","4","231"
"411","14","231"
"414","9","234"
"422","14","239"
"432","14","246"
"452","4","254"
"453","4","254"
"454","14","254"
"480","6","264"
"481","14","264"
"492","14","272"
"493","10","272"
"494","16","272"
"517","14","287"
"524","16","293"
"531","10","298"
"537","10","303"
"539","10","305"
"548","14","310"
"562","5","319"
"569","14","325"
"577","4","327"
"578","4","327"
"579","14","327"
"580","14","328"
"581","10","328"
"582","16","328"
"604","14","337"
"622","14","346"
"623","13","346"
"626","14","349"
"627","14","350"
"629","14","353"
"635","5","357"
"636","6","357"
"637","14","357"
"638","14","358"
"639","14","359"
"643","14","361"
"652","1","367"
"679","6","383"
"680","14","383"
"681","10","383"
"682","16","383"
"694","14","388"
"695","16","388"
"697","2","390"
"698","14","390"
"707","14","395"
"709","14","397"
"710","20","397"
"713","1","399"
"714","4","399"
"715","4","399"
"716","14","399"
"726","14","404"
"738","9","409"
"739","10","409"
"751","1","415"
"758","14","418"
"759","16","418"
"766","14","422"
"771","1","426"
"772","14","427"
"773","9","427"
"775","14","429"
"782","5","433"
"797","14","443"
"811","14","452"
"812","14","453"
"827","14","462"
"831","5","466"
"832","14","466"
"833","9","466"
"834","10","466"
"846","5","474"
"847","6","474"
"848","14","474"
"849","9","474"
"850","16","474"
"852","14","476"
"857","14","482"
"858","14","483"
"862","14","486"
"863","14","487"
"876","14","496"
"884","14","499"
"889","6","503"
"891","5","505"
"892","14","506"
"897","14","509"
"898","16","509"
"902","14","513"
"910","14","517"
"911","10","517"
"912","16","517"
"913","14","518"
"916","14","521"
"924","14","527"
"934","14","533"
"948","10","540"
"949","16","540"
"957","14","546"
"963","5","550"
"964","6","550"
"965","16","550"
"966","14","551"
"970","4","554"
"971","4","554"
"972","14","554"
"973","14","555"
"974","16","555"
"981","14","558"
"982","14","559"
"984","14","561"
"985","14","562"
"986","10","562"
"987","16","562"
"988","14","563"
"1000","14","569"
"1001","4","570"
"1002","4","570"
"1003","14","570"
"1004","14","571"
"1006","16","573"
"1015","14","578"
"1020","1","580"
"1023","14","583"
"1024","14","584"
"1025","9","584"
"1036","14","590"
"1040","4","593"
"1041","4","593"
"1042","14","593"
"1043","10","593"
"1044","16","593"
"1051","14","597"
"1052","10","597"
"1053","16","597"
"1055","6","599"
"1060","14","602"
"1061","5","603"
"1062","9","603"
"1063","13","603"
"1082","14","616"
"1086","14","618"
"1092","14","623"
"1095","14","625"
"1097","14","627"
"1099","14","629"
"1106","10","634"
"1107","16","634"
"1108","14","635"
"1115","14","640"
"1132","10","652"
"1133","16","652"
"1149","4","660"
"1150","4","660"
"1151","14","660"
"1152","10","660"
"1153","16","660"
"1154","14","661"
"1169","14","673"
"1170","16","673"
"1179","14","678"
"1182","14","681"
"1184","14","683"
"1190","14","687"
"1191","13","687"
"1194","10","689"
"1195","16","689"
"1196","14","690"
"1197","10","690"
"1198","16","690"
"1203","14","694"
"1211","1","699"
"1228","5","712"
"1229","13","712"
"1231","14","714"
"1238","14","719"
"1248","6","724"
"1249","14","724"
"1250","9","724"
"1251","16","724"
"1253","1","726"
"1256","2","729"
"1257","5","729"
"1258","6","729"
"1259","10","729"
"1260","13","729"
"1262","5","731"
"1263","6","731"
"1264","14","731"
"1265","10","731"
"1266","16","731"
"1274","14","736"
"1277","14","738"
"1280","14","740"
"1281","14","741"
"1282","14","742"
"1283","10","742"
"1289","14","745"
"1301","14","751"
"1312","5","757"
"1313","6","757"
"1314","9","757"
"1315","10","757"
"1325","14","763"
"1327","14","765"
"1331","14","767"
"1334","2","769"
"1342","14","774"
"1343","16","774"
"1350","14","777"
"1355","14","781"
"1356","14","782"
"1362","14","786"
"1363","10","786"
"1364","16","786"
"1365","14","787"
"1372","6","791"
"1373","13","791"
"1374","16","791"
"1380","4","796"
"1381","4","796"
"1389","14","801"
"1396","14","806"
"1397","20","806"
"1398","14","807"
"1399","20","807"
"1400","1","808"
"1405","14","811"
"1407","14","813"
"1412","14","816"
"1417","14","820"
"1419","14","822"
"1420","10","822"
"1421","16","822"
"1431","1","829"
"1432","14","830"
"1433","20","830"
"1438","14","833"
"1439","14","834"
"1441","14","836"
"1442","14","837"
"1443","14","838"
"1448","14","842"
"1454","14","846"
"1459","14","849"
"1475","14","856"
"1484","14","861"
"1494","14","868"
"1498","14","871"
"1499","6","872"
"1509","14","877"
"1514","14","882"
"1515","9","882"
"1516","16","882"
"1520","14","885"
"1521","20","885"
"1524","14","887"
"1526","14","889"
"1536","14","894"
"1537","9","894"
"1545","14","898"
"1546","10","898"
"1547","16","898"
"1562","14","906"
"1564","14","908"
"1565","16","908"
"1570","2","911"
"1571","6","911"
"1572","2","912"
"1573","4","913"
"1574","4","913"
"1575","14","913"
"1576","14","915"
"1577","14","916"
"1593","1","925"
"1600","14","929"
"1601","14","930"
"1602","10","930"
"1603","13","930"
"1604","16","930"
"1612","4","935"
"1613","4","935"
"1614","14","935"
"1622","14","939"
"1629","14","944"
"1652","6","956"
"1653","14","956"
"1654","10","956"
"1655","13","956"
"1656","16","956"
"1662","14","960"
"1669","14","964"
"1674","14","966"
"1680","14","970"
"1681","10","970"
"1682","16","970"
"1686","14","973"
"1705","14","984"
"1706","20","984"
"1707","10","985"
"1708","13","985"
"1715","4","990"
"1716","4","990"
"1717","14","990"
"1719","5","992"
"1734","9","999"
"1735","13","999"
"1737","14","1001"
"1738","14","1002"
"1739","9","1002"
"1742","14","1004"
"1743","14","1006"
"1744","13","1006"
"1745","14","1007"
"1746","14","1008"
"1748","14","1010"
"1751","20","1012"
"1765","14","1018"
"1778","14","1024"
"1779","14","1025"
"1780","4","1026"
"1781","4","1026"
"1782","14","1026"
"1786","10","1028"
"1794","14","1032"
"1795","13","1032"
"1796","16","1032"
"1798","1","1034"
"1799","2","1034"
"1803","4","1037"
"1804","4","1037"
"1805","14","1037"
"1806","14","1038"
"1807","9","1038"
"1830","14","1050"
"1833","2","1052"
"1841","14","1056"
"1842","4","1057"
"1843","4","1057"
"1844","14","1057"
"1850","14","1060"
"1851","4","1061"
"1852","4","1061"
"1853","14","1061"
"1864","14","1068"
"1877","14","1076"
"1882","14","1079"
"1885","14","1081"
"1902","4","1095"
"1903","4","1095"
"1904","6","1095"
"1905","14","1095"
"1906","10","1095"
"1907","16","1095"
"1922","14","1102"
"1933","9","1109"
"1935","9","1111"
"1938","14","1113"
"1939","14","1114"
"1957","14","1126"
"1968","14","1132"
"1974","14","1139"
"1975","10","1139"
"1976","16","1139"
"1977","14","1140"
"1985","5","1145"
"1989","14","1148"
"1990","14","1149"
"2014","14","1162"
"2015","5","1163"
"2016","6","1163"
"2017","14","1163"
"2018","10","1163"
"2019","13","1163"
"2020","16","1163"
"2021","4","1164"
"2022","4","1164"
"2023","14","1164"
"2041","14","1175"
"2042","2","1176"
"2043","14","1176"
"2044","14","1177"
"2045","9","1177"
"2046","14","1178"
"2047","14","1179"
"2048","14","1180"
"2049","9","1180"
"2050","13","1180"
"2051","16","1180"
"2056","10","1184"
"2061","14","1188"
"2064","4","1190"
"2065","4","1190"
"2066","14","1190"
"2071","14","1193"
"2072","20","1193"
"2080","1","1196"
"2081","2","1196"
"2082","14","1197"
"2083","16","1197"
"2088","4","1201"
"2089","4","1201"
"2090","14","1201"
"2096","14","1205"
"2097","20","1205"
"2103","14","1209"
"2104","10","1209"
"2105","13","1209"
"2106","16","1209"
"2116","14","1214"
"2140","4","1229"
"2141","4","1229"
"2142","14","1229"
"2143","1","1230"
"2164","2","1242"
"2167","14","1244"
"2168","14","1245"
"2171","14","1247"
"2172","10","1247"
"2173","16","1247"
"2174","2","1248"
"2175","4","1248"
"2176","4","1248"
"2177","14","1248"
"2178","13","1248"
"2179","14","1249"
"2180","14","1250"
"2193","16","1259"
"2194","10","1260"
"2197","14","1262"
"2200","2","1264"
"2201","14","1264"
"2203","14","1266"
"2204","10","1266"
"2205","13","1266"
"2206","5","1267"
"2207","14","1267"
"2208","9","1267"
"2209","10","1267"
"2216","14","1271"
"2217","16","1271"
"2219","2","1273"
"2220","14","1274"
"2240","14","1285"
"2241","14","1286"
"2243","14","1288"
"2244","14","1289"
"2271","14","1309"
"2272","13","1309"
"2273","16","1309"
"2274","14","1310"
"2276","10","1311"
"2277","16","1311"
"2278","1","1312"
"2279","2","1312"
"2280","2","1313"
"2281","14","1313"
"2282","10","1313"
"2289","14","1316"
"2290","20","1316"
"2291","14","1317"
"2306","14","1326"
"2311","16","1330"
"2317","14","1334"
"2323","14","1337"
"2328","14","1340"
"2331","1","1343"
"2333","5","1345"
"2348","14","1352"
"2349","9","1353"
"2350","5","1354"
"2351","6","1354"
"2355","10","1357"
"2360","14","1361"
"2361","1","1362"
"2368","14","1366"
"2369","9","1366"
"2370","16","1366"
"2375","14","1370"
"2390","4","1380"
"2391","4","1380"
"2392","14","1381"
"2393","16","1381"
"2396","14","1383"
"2397","4","1384"
"2398","4","1384"
"2399","14","1384"
"2403","14","1387"
"2404","20","1387"
"2418","14","1396"
"2426","14","1400"
"2427","20","1400"
"2430","10","1402"
"2431","13","1402"
"2443","14","1407"
"2444","14","1408"
"2448","14","1411"
"2449","9","1411"
"2450","14","1412"
"2453","14","1414"
"2470","14","1423"
"2471","14","1424"
"2497","14","1438"
"2502","6","1442"
"2503","14","1442"
"2505","14","1444"
"2506","14","1445"
"2507","14","1446"
"2513","14","1450"
"2521","14","1454"
"2529","14","1460"
"2530","4","1461"
"2531","4","1461"
"2532","14","1461"
"2535","14","1463"
"2537","14","1465"
"2538","14","1466"
"2542","14","1468"
"2560","14","1479"
"2561","5","1480"
"2564","10","1482"
"2565","16","1482"
"2572","14","1487"
"2573","14","1488"
"2575","4","1490"
"2576","4","1490"
"2577","14","1490"
"2578","16","1490"
"2580","14","1492"
"2586","14","1496"
"2597","16","1502"
"2600","14","1504"
"2605","14","1507"
"2610","5","1509"
"2611","6","1509"
"2616","14","1512"
"2617","10","1512"
"2618","16","1512"
"2619","4","1513"
"2620","4","1513"
"2621","14","1513"
"2624","1","1515"
"2625","14","1516"
"2626","9","1517"
"2627","14","1518"
"2631","14","1522"
"2640","14","1527"
"2641","14","1528"
"2642","13","1528"
"2646","6","1531"
"2647","14","1531"
"2658","14","1539"
"2665","14","1542"
"2666","5","1544"
"2667","14","1545"
"2671","14","1548"
"2692","14","1560"
"2695","13","1563"
"2700","14","1566"
"2701","14","1567"
"2712","14","1573"
"2713","20","1573"
"2714","14","1574"
"2715","14","1575"
"2716","10","1575"
"2717","16","1575"
"2718","14","1576"
"2719","16","1576"
"2720","14","1577"
"2723","4","1579"
"2724","4","1579"
"2725","14","1579"
"2728","14","1581"
"2735","6","1585"
"2736","14","1585"
"2737","9","1585"
"2738","10","1585"
"2739","16","1585"
"2742","14","1587"
"2761","20","1599"
"2764","14","1601"
"2769","14","1605"
"2770","14","1606"
"2783","14","1614"
"2784","20","1614"
"2785","1","1615"
"2786","14","1616"
"2790","14","1619"
"2797","9","1622"
"2798","14","1623"
"2811","14","1635"
"2817","14","1639"
"2822","14","1642"
"2823","14","1643"
"2828","1","1646"
"2829","2","1646"
"2830","4","1646"
"2831","4","1646"
"2832","14","1646"
"2836","14","1649"
"2837","14","1650"
"2838","5","1651"
"2839","14","1651"
"2840","14","1652"
"2845","14","1655"
"2852","2","1659"
"2853","4","1659"
"2854","4","1659"
"2855","14","1659"
"2858","13","1661"
"2861","14","1663"
"2862","14","1664"
"2863","14","1665"
"2875","14","1674"
"2880","13","1678"
"2885","14","1681"
"2892","14","1685"
"2900","14","1690"
"2901","5","1691"
"2902","14","1692"
"2907","14","1696"
"2908","14","1697"
"2911","14","1699"
"2912","16","1699"
"2913","14","1700"
"2930","14","1708"
"2937","14","1713"
"2940","6","1715"
"2942","5","1717"
"2970","14","1731"
"2971","10","1731"
"2972","1","1732"
"2973","14","1733"
"2974","14","1734"
"2980","14","1738"
"2996","14","1747"
"3003","14","1750"
"3009","14","1754"
"3010","1","1755"
"3011","2","1755"
"3015","14","1758"
"3019","6","1760"
"3020","14","1761"
"3027","1","1765"
"3028","2","1765"
"3029","14","1765"
"3036","14","1770"
"3037","14","1771"
"3038","16","1771"
"3039","20","1771"
"3040","14","1772"
"3046","10","1776"
"3047","16","1776"
"3050","14","1778"
