"id","person_id","film_id"
"107","10307","1042"
"219","10322","7463"
"220","10323","7463"
"221","10324","7463"
"223","10525","7465"
"224","10526","7465"
"225","10527","7465"
"229","10542","7466"
"230","9670","7466"
"231","10543","7466"
"232","10553","7467"
"233","10552","7467"
"238","10574","7469"
"239","10575","7469"
"271","10673","7474"
"272","4149","7474"
"273","10675","7474"
"283","10714","7477"
"284","10719","7477"
"285","10720","7477"
"346","10914","7489"
"347","3428","7489"
"348","6336","7489"
"349","10914","7490"
"350","10922","7491"
"351","3428","7491"
"352","6336","7491"
"383","11016","7497"
"384","11017","7497"
"385","11018","7497"
"386","11024","7498"
"387","11023","7498"
"552","11455","7519"
"553","11456","7519"
"554","11457","7519"
"696","11806","2912"
"697","11807","2912"
"698","11808","2912"
"799","12006","7557"
"827","12063","3599"
"828","2953","3599"
"829","10630","3599"
"1003","12460","6009"
"1004","12461","6009"
"1005","12462","6009"
"1018","12483","896"
"1019","5235","896"
"1020","6734","896"
"1027","12497","7587"
"1028","12498","7587"
"1029","12494","7587"
"1122","12716","5070"
"1123","5857","5070"
"1124","12710","5070"
"1125","5857","4871"
"1126","12710","4871"
"1127","12720","4871"
"1148","12765","5609"
"1149","12766","5609"
"1164","12812","7599"
"1165","12813","7599"
"1166","12811","7599"
"1211","12675","7607"
"1212","12928","7607"
"1213","12929","7607"
"1226","3158","1963"
"1227","10246","1963"
"1228","11915","1963"
"1319","6767","7626"
"1320","13146","7626"
"1321","6048","7626"
"1342","13182","7630"
"1343","13183","7630"
"1344","13184","7630"
"1345","13189","655"
"1346","6769","5341"
"1347","13195","5341"
"1348","13196","5341"
"1349","13202","7631"
"1350","13205","7631"
"1351","13203","7631"
"1521","13539","7648"
"1522","13540","7648"
"1544","13606","1703"
"1551","13599","7653"
"1552","13596","7653"
"1553","13600","7653"
"1583","13685","7661"
"1584","5030","7661"
"1585","13686","7661"
"1703","10322","4269"
"1704","10323","4269"
"1705","11750","4269"
"1744","14064","2335"
"1745","2592","2335"
"1746","14065","2335"
"1772","14009","3914"
"1773","14112","3914"
"1774","14113","3914"
"1775","14119","7696"
"1776","14120","7696"
"1777","10815","7696"
"1812","2878","866"
"1813","14204","866"
"1814","10879","866"
"1844","14274","7708"
"1845","14275","7708"
"1846","14276","7708"
"1856","14292","7022"
"1857","14293","7022"
"1858","14294","7022"
"1890","14386","7717"
"1891","14387","7717"
"1892","14388","7717"
"1986","2928","7065"
"1987","12004","7065"
"1988","14559","7065"
"2064","14705","7744"
"2065","14703","7744"
"2066","10787","7744"
"2082","14758","7749"
"2083","14764","7750"
"2084","14766","7750"
"2085","14767","7750"
"2086","14773","7751"
"2087","14774","7751"
"2088","9962","7752"
"2089","14780","7752"
"2090","14781","7752"
"2091","14788","7753"
"2092","14789","7753"
"2093","14366","7753"
"2097","14795","6677"
"2098","14796","6677"
"2099","14794","6677"
"2103","14809","7755"
"2104","14810","7755"
"2105","12947","7755"
"2297","15172","7781"
"2298","15173","7781"
"2316","15213","7786"
"2317","15214","7786"
"2318","15215","7786"
"2429","15391","7804"
"2430","12304","7804"
"2431","12292","7804"
"2468","12705","5792"
"2469","8848","5792"
"2470","15451","5792"
"2471","15454","7809"
"2472","15455","7809"
"2473","15456","7809"
"2474","15464","7810"
"2475","15465","7810"
"2476","15466","7810"
"2489","12070","7814"
"2490","12071","7814"
"2491","15511","7814"
"2495","15525","6157"
"2496","15526","6157"
"2503","15555","7819"
"2504","15556","7819"
"2514","15594","7821"
"2515","15595","7821"
"2516","12649","7821"
"2650","15869","3636"
"2651","15870","3636"
"2664","15894","3770"
"2665","15901","3770"
"2666","10622","3770"
"2670","15915","7848"
"2679","15932","7850"
"2680","15933","7850"
"2681","15934","7850"
"2709","15974","7855"
"2710","15975","7855"
"2711","15976","7855"
"2806","16140","1211"
"2807","16141","1211"
"2808","16142","1211"
"2850","9692","7885"
"2851","16214","7885"
"2852","9146","7885"
"2853","16211","7885"
"2856","16228","7886"
"2857","16229","7886"
"2858","16239","7887"
"2859","16237","7887"
"2860","16238","7887"
"2861","16245","723"
"2862","16246","723"
"2863","16247","723"
"2870","16269","7890"
"2871","16270","7890"
"2872","9092","7890"
"3038","12372","7933"
"3039","2598","7933"
"3040","16063","7933"
"3080","16683","7946"
"3081","16691","7947"
"3082","16689","7947"
"3131","59","7957"
"3132","6188","7957"
"3133","16785","7957"
"3164","59","7966"
"3165","16785","7966"
"3166","16839","7966"
"3176","13732","7666"
"3177","13733","7666"
"3383","17211","8038"
"3384","17212","8038"
"3385","4940","8038"
"3442","17347","8052"
"3615","17758","8136"
"3616","17759","8136"
"3617","17760","8136"
"3618","7696","291"
"3619","17767","291"
"3620","17768","291"
"3621","17771","8137"
"3622","13284","8137"
"3623","17772","8137"
"3715","11819","495"
"3716","17993","495"
"3717","11843","495"
"3798","18173","1015"
"3799","18174","1015"
"3800","18175","1015"
"3837","11354","8211"
"3838","13456","8211"
"3839","4407","8211"
"3926","12179","1206"
"3927","18436","1206"
"3928","10936","1206"
"4025","18631","2864"
"4074","14054","8279"
"4075","10946","8279"
"4076","18740","8279"
"4118","18797","8284"
"4119","18798","8284"
"4120","18799","8284"
"4191","18940","1680"
"4192","18941","1680"
"4193","18942","1680"
"4209","18971","8300"
"4210","7324","8300"
"4211","18972","8300"
"4252","19076","8314"
"4253","19078","8314"
"4254","19079","8314"
"4267","17605","8319"
"4268","17607","8319"
"4269","19124","8319"
"4273","19144","8323"
"4274","19147","8323"
"4275","19148","8323"
"4279","19157","8325"
"4280","19156","8325"
"4281","19158","8325"
"4294","15027","8330"
"4295","15072","8330"
"4296","19188","8330"
"4300","19201","8332"
"4301","19203","8332"
"4302","19204","8332"
"4388","19438","8362"
"4389","19439","8362"
"4390","19440","8362"
"4431","19524","8376"
"4432","19525","8376"
"4439","19542","2310"
"4440","19544","2310"
"4441","19545","2310"
"4522","8079","25"
"4523","19721","25"
"4577","19850","8425"
"4578","19851","8425"
"4579","19852","8425"
"4589","19890","1393"
"4663","13022","8455"
"4664","2889","8455"
"4665","20023","8455"
"4684","20048","8459"
"4685","7081","8459"
"4686","20049","8459"
"4687","16821","8460"
"4688","3686","8460"
"4689","4991","8460"
"4690","15331","4904"
"4691","15332","4904"
"4692","15333","4904"
"4693","4966","8461"
"4694","20058","8461"
"4695","20059","8461"
