"id","person_id","film_id"
"1","4","6141"
"2","6","6141"
"6","15","5012"
"7","16","4940"
"8","17","3235"
"10","19","2484"
"11","20","2120"
"14","24","5808"
"17","28","4032"
"19","28","2924"
"21","28","4900"
"22","28","6959"
"23","30","2978"
"24","31","2559"
"27","35","1573"
"28","35","6916"
"30","37","4481"
"34","44","154"
"35","46","1956"
"36","46","4807"
"37","48","1640"
"38","48","3180"
"39","48","3684"
"41","52","2232"
"42","52","6568"
"47","57","434"
"49","60","3336"
"50","64","879"
"51","64","4919"
"64","77","1239"
"65","77","2676"
"67","77","6033"
"70","79","1188"
"76","83","5892"
"78","86","863"
"79","87","1454"
"80","87","5061"
"83","89","1306"
"84","90","973"
"87","97","5613"
"89","101","1997"
"94","109","6711"
"99","112","5279"
"100","112","5279"
"101","114","3412"
"102","114","4692"
"103","115","879"
"113","117","295"
"114","117","1180"
"115","117","3043"
"116","117","4428"
"117","117","4525"
"118","117","5267"
"119","117","5298"
"120","117","6693"
"121","117","6786"
"125","122","1214"
"127","129","6552"
"128","131","5979"
"133","141","1188"
"136","149","3737"
"138","153","7072"
"139","155","3709"
"144","157","2212"
"145","157","5501"
"146","159","4452"
"147","161","3493"
"149","164","1031"
"151","166","796"
"161","169","6539"
"165","174","3773"
"167","177","744"
"168","181","818"
"170","182","4129"
"172","185","999"
"173","189","3421"
"174","189","6490"
"175","190","1562"
"176","190","2465"
"177","190","5271"
"178","190","5858"
"179","190","5971"
"180","191","853"
"181","191","2942"
"182","191","3854"
"183","191","3903"
"185","196","2983"
"186","202","546"
"187","206","4234"
"188","206","5757"
"190","210","1698"
"191","211","3624"
"193","226","2712"
"195","230","3986"
"196","233","2385"
"197","238","6788"
"199","248","4233"
"203","268","3792"
"205","269","3528"
"206","270","4914"
"207","271","5329"
"208","273","2067"
"210","276","2127"
"211","276","4227"
"215","296","4692"
"216","300","2114"
"218","304","381"
"219","304","4043"
"220","310","1914"
"221","312","2127"
"223","319","6188"
"224","321","660"
"225","321","1412"
"226","322","3967"
"227","322","4126"
"228","322","5971"
"229","326","2140"
"230","326","3214"
"231","326","4411"
"233","329","4126"
"234","330","6958"
"236","335","474"
"237","335","1391"
"238","335","4015"
"239","335","6543"
"240","346","797"
"241","346","2267"
"242","346","3586"
"243","346","4801"
"244","346","6240"
"245","349","5074"
"246","349","5133"
"247","349","5270"
"249","357","561"
"250","359","4691"
"252","379","551"
"253","379","6043"
"254","381","6499"
"255","382","2946"
"256","387","6824"
"258","391","306"
"259","391","564"
"260","391","790"
"261","391","2637"
"262","391","2837"
"263","391","2845"
"264","391","2967"
"266","391","4117"
"268","391","5228"
"269","391","5231"
"270","391","6988"
"271","392","7048"
"273","394","4301"
"275","405","3730"
"276","405","6936"
"277","410","2654"
"279","423","6253"
"281","434","5207"
"283","446","4233"
"284","454","696"
"285","457","6958"
"286","458","2821"
"287","458","6860"
"288","460","3122"
"289","413","426"
"290","463","3738"
"291","463","4514"
"293","463","7048"
"294","464","560"
"296","472","2757"
"298","473","5531"
"299","476","5808"
"300","476","6469"
"302","477","6594"
"303","484","3168"
"304","485","2831"
"305","485","4692"
"308","487","3089"
"309","488","1141"
"313","493","3160"
"314","497","1024"
"315","498","2196"
"316","499","2399"
"317","500","933"
"323","507","6942"
"327","516","4301"
"328","516","6371"
"329","517","2277"
"330","525","216"
"333","529","2191"
"335","529","4045"
"336","529","7035"
"337","531","36"
"338","531","6344"
"340","536","58"
"342","536","1525"
"343","536","3520"
"344","537","5977"
"345","540","3196"
"346","541","6915"
"347","543","4311"
"349","544","4462"
"350","544","6324"
"351","544","6936"
"352","545","1228"
"354","548","3673"
"358","550","1195"
"359","550","4852"
"360","550","5480"
"361","553","1557"
"366","556","3137"
"367","556","4743"
"368","556","5535"
"371","559","6240"
"374","562","6855"
"375","565","6478"
"379","571","1811"
"380","583","1610"
"381","585","1692"
"382","588","6742"
"383","592","696"
"384","595","1904"
"385","596","4752"
"386","597","4752"
"387","599","2127"
"388","606","5656"
"389","608","2242"
"390","613","4899"
"391","617","196"
"392","620","1221"
"395","622","1811"
"396","622","2755"
"397","622","2833"
"398","622","6023"
"399","622","6976"
"401","632","5865"
"403","636","496"
"404","636","1398"
"405","637","3865"
"406","639","5036"
"409","644","1173"
"410","644","1956"
"411","644","4809"
"412","644","5762"
"413","644","5983"
"414","649","1412"
"415","649","2049"
"417","649","5983"
"418","659","660"
"419","661","510"
"420","662","6594"
"422","703","5144"
"425","710","6443"
"426","713","4705"
"427","714","5095"
"428","720","6515"
"429","723","5522"
"434","755","6491"
"437","772","536"
"438","782","3527"
"439","782","5433"
"440","785","605"
"443","789","720"
"444","793","4201"
"445","795","1420"
"446","799","1365"
"448","828","5995"
"449","834","3846"
"450","838","2206"
"453","847","2605"
"454","847","3051"
"457","853","4067"
"459","856","2407"
"460","858","394"
"466","863","116"
"467","863","239"
"468","863","335"
"469","863","1373"
"470","863","4350"
"476","868","4398"
"479","871","2070"
"483","880","3469"
"484","884","5095"
"489","896","5257"
"491","904","2394"
"492","904","5242"
"493","905","6934"
"494","907","3336"
"496","912","4506"
"498","928","5990"
"499","930","714"
"500","930","2975"
"501","930","3399"
"502","930","3982"
"503","930","7027"
"506","933","484"
"507","936","5790"
"508","938","974"
"509","938","4691"
"514","941","3103"
"516","948","3810"
"517","953","31"
"518","953","5266"
"519","954","3706"
"525","962","4801"
"527","965","6195"
"528","967","4419"
"530","970","4053"
"536","978","2277"
"537","979","5756"
"539","982","1753"
"540","982","3972"
"547","989","2953"
"553","992","3846"
"554","992","6478"
"555","992","6980"
"556","997","1726"
"565","1018","1722"
"566","1018","2165"
"567","1018","3968"
"568","1018","4487"
"569","1019","2380"
"570","1019","3178"
"571","1019","3948"
"572","1019","5183"
"574","1019","6734"
"575","1019","7030"
"577","1022","6780"
"580","1026","5079"
"581","1032","2480"
"583","1033","5844"
"584","1034","5375"
"585","1035","1306"
"586","1037","5337"
"598","1056","31"
"601","1060","6452"
"602","1060","7027"
"603","1061","714"
"607","1063","2824"
"608","1063","3958"
"610","1063","6100"
"611","1063","6526"
"612","1063","6568"
"616","1068","4533"
"618","1071","5685"
"619","1072","5871"
"633","1084","6551"
"648","1091","3810"
"651","1092","2456"
"653","1094","3099"
"656","1094","4652"
"660","1096","6424"
"661","1097","5844"
"668","1105","4942"
"669","1106","1821"
"670","1106","4837"
"671","1107","4389"
"674","1107","5880"
"675","1108","3051"
"676","1109","5157"
"677","1114","1602"
"681","1118","551"
"682","1124","6699"
"683","1127","6215"
"684","1128","715"
"685","1128","3985"
"686","1128","4535"
"687","1128","6490"
"688","1128","6908"
"689","1129","843"
"690","1129","2025"
"691","1129","5353"
"698","1137","2120"
"700","1141","1908"
"701","1141","3232"
"702","1143","6215"
"703","1147","560"
"704","1147","5074"
"705","1147","5133"
"709","1151","4208"
"715","1151","6905"
"719","1159","3982"
"726","1165","2286"
"732","1173","1331"
"733","1173","2277"
"744","1182","6969"
"746","1184","2063"
"747","1185","821"
"757","1187","4693"
"758","1188","7016"
"780","1198","1089"
"781","1199","39"
"782","1199","1150"
"786","1199","4839"
"787","1199","5512"
"789","1202","3935"
"792","1212","5418"
"793","1212","6696"
"795","1216","721"
"796","1217","6240"
"797","1219","666"
"800","1222","6884"
"801","1231","2333"
"802","1233","1807"
"803","1233","5187"
"804","1234","2153"
"805","1235","1476"
"807","1239","5131"
"810","1241","3099"
"811","1242","3982"
"813","1243","1397"
"814","1244","3673"
"816","1246","4636"
"823","1255","3709"
"824","1256","2021"
"825","1258","3187"
"827","1263","3241"
"834","1270","3950"
"837","1273","4506"
"838","1274","3956"
"839","1275","5012"
"841","1281","1610"
"842","1282","4493"
"843","1287","4573"
"844","1291","3032"
"845","1293","6822"
"847","1302","1537"
"849","1308","4938"
"850","1309","1353"
"851","1309","2007"
"852","1309","2612"
"853","1309","4809"
"854","1309","5762"
"855","1309","6324"
"857","1310","1353"
"858","1310","2612"
"859","1310","4809"
"860","1310","5762"
"861","1310","6324"
"863","1311","2007"
"864","1314","345"
"865","1314","2114"
"866","1316","4434"
"867","1319","1524"
"868","1321","803"
"869","1325","2484"
"870","1325","6636"
"871","1329","4706"
"873","1336","632"
"875","1336","4752"
"876","1336","5955"
"877","1343","1610"
"878","1343","4494"
"879","1347","1969"
"881","1351","490"
"882","1351","1622"
"883","1351","1965"
"884","1351","2140"
"885","1351","3214"
"887","1351","4411"
"888","1351","4906"
"889","1351","6008"
"891","1351","6624"
"892","1353","1692"
"893","1354","3153"
"894","1356","1524"
"895","1358","5115"
"896","1362","3551"
"898","1369","5398"
"899","1371","5398"
"900","1378","5808"
"901","1379","908"
"902","1379","4556"
"904","1381","6788"
"905","1389","5313"
"906","1390","5313"
"908","1399","1005"
"910","1409","3505"
"913","1414","4672"
"914","1417","6688"
"915","1421","3089"
"916","1422","6885"
"917","1427","2787"
"920","1444","1839"
"921","1446","1493"
"923","1454","926"
"924","1455","1353"
"925","1455","2134"
"927","1462","4424"
"928","1465","4494"
"929","1466","1493"
"931","1468","3420"
"932","1470","2134"
"933","1473","5195"
"934","1473","5926"
"935","1476","926"
"937","1489","716"
"938","1495","1960"
"939","1495","2209"
"940","1500","3578"
"943","1511","706"
"944","1516","4085"
"946","1520","4727"
"947","1521","803"
"948","1522","4535"
"949","1523","1716"
"950","1523","1986"
"951","1523","4217"
"953","1523","4941"
"954","1523","5527"
"955","1524","749"
"957","1526","3776"
"958","1527","6741"
"960","1530","6183"
"964","1533","6240"
"965","1535","4560"
"966","1537","4539"
"967","1537","4658"
"968","1545","4516"
"969","1552","4651"
"970","1552","5522"
"972","1555","4352"
"974","1560","3006"
"975","1566","2093"
"976","1572","1007"
"978","1573","1610"
"979","1574","2654"
"980","1584","3245"
"981","1584","5522"
"982","1585","4067"
"983","1587","4923"
"984","1590","54"
"985","1590","1410"
"986","1590","2278"
"988","1590","4377"
"989","1590","4507"
"990","1590","5210"
"991","1590","5367"
"993","1590","6598"
"994","1591","5210"
"996","1593","54"
"997","1593","5367"
"998","1594","2278"
"1000","1596","4377"
"1001","1597","6598"
"1003","1602","1051"
"1005","1604","5144"
"1006","1606","2053"
"1008","1608","2099"
"1009","1608","3077"
"1010","1608","4923"
"1011","1611","4535"
"1012","1612","2818"
"1013","1613","3412"
"1014","1618","3032"
"1015","1618","6841"
"1016","1619","461"
"1017","1619","2942"
"1018","1619","4112"
"1019","1620","509"
"1020","1621","1216"
"1021","1621","1423"
"1023","1621","4424"
"1024","1621","5157"
"1025","1621","6502"
"1026","1621","6699"
"1028","1624","1242"
"1029","1626","1570"
"1030","1626","2673"
"1033","1633","1908"
"1035","1651","2821"
"1036","1651","4506"
"1037","1651","4938"
"1038","1651","5781"
"1039","1652","4506"
"1040","1652","4938"
"1041","1653","2821"
"1043","1655","5781"
"1045","1657","474"
"1046","1657","1391"
"1047","1657","4015"
"1048","1657","6543"
"1049","1661","4129"
"1050","1666","3611"
"1051","1670","1410"
"1052","1670","4507"
"1053","1685","715"
"1054","1685","3985"
"1055","1685","6908"
"1056","1695","1524"
"1057","1701","3187"
"1058","1701","5627"
"1060","1717","378"
"1061","1717","724"
"1062","1717","1304"
"1063","1717","2979"
"1067","1722","1326"
"1072","1729","6538"
"1073","1739","2897"
"1074","1739","3423"
"1075","1739","4862"
"1076","1739","5970"
"1077","1739","6800"
"1078","1741","4636"
"1079","1743","4098"
"1080","1744","665"
"1083","1760","645"
"1084","1762","4112"
"1085","1764","6199"
"1086","1768","5856"
"1087","1771","528"
"1088","1772","195"
"1089","1776","1753"
"1092","1782","3846"
"1093","1783","6449"
"1095","1793","6027"
"1096","1794","968"
"1097","1794","1135"
"1098","1794","5903"
"1101","1801","1091"
"1102","1801","6809"
"1103","1803","737"
"1105","1804","5005"
"1106","1805","6541"
"1107","1806","6496"
"1108","1807","4981"
"1109","1807","6733"
"1110","1802","278"
"1111","1802","1372"
"1113","1811","6315"
"1114","1817","4503"
"1119","1822","3469"
"1120","1823","3050"
"1122","1826","4835"
"1124","1828","3756"
"1129","1836","1609"
"1131","1838","6730"
"1133","1840","4744"
"1135","1847","6240"
"1137","1852","6915"
"1138","1856","3738"
"1139","1856","4514"
"1143","1866","3067"
"1144","1870","2696"
"1147","1880","7030"
"1148","1886","7029"
"1149","1888","1077"
"1150","1888","3067"
"1151","1893","1122"
"1153","1897","3232"
"1154","1899","645"
"1155","1904","6918"
"1157","1908","381"
"1158","1909","994"
"1159","1911","6393"
"1160","1912","1353"
"1161","1912","2016"
"1163","1912","2303"
"1164","1912","2407"
"1165","1912","3223"
"1166","1912","3967"
"1167","1912","5971"
"1170","1913","2303"
"1171","1914","1353"
"1172","1914","2016"
"1174","1914","2407"
"1175","1914","3967"
"1176","1914","5971"
"1179","1916","5428"
"1180","1917","1005"
"1182","1919","5025"
"1183","1920","2242"
"1187","1936","5158"
"1188","1940","5741"
"1189","1941","6594"
"1190","1943","4679"
"1194","1951","787"
"1198","1952","1031"
"1200","1954","474"
"1201","1954","1413"
"1202","1954","3432"
"1203","1954","4171"
"1204","1961","3407"
"1206","1962","357"
"1208","1962","2030"
"1211","1965","5856"
"1214","1968","953"
"1215","1972","6233"
"1216","1973","4371"
"1219","1979","5824"
"1220","1982","1395"
"1222","1991","1960"
"1223","1991","2209"
"1224","1993","566"
"1231","2001","1898"
"1232","2001","2945"
"1234","2006","2559"
"1242","2019","1024"
"1245","2024","818"
"1249","2034","6708"
"1250","2038","716"
"1251","2039","6548"
"1252","2039","6570"
"1253","2039","6841"
"1254","2043","394"
"1255","2043","1162"
"1256","2043","4914"
"1257","2043","5361"
"1258","2049","4807"
"1259","2050","2612"
"1261","2054","3391"
"1262","2054","6993"
"1268","2062","1411"
"1269","2062","4650"
"1271","2062","6382"
"1272","2065","6828"
"1273","2066","1478"
"1274","2066","4473"
"1276","2069","3614"
"1282","2077","3436"
"1287","2080","5688"
"1292","2085","786"
"1298","2092","2146"
"1300","2094","1331"
"1301","2095","3457"
"1308","2107","4025"
"1309","2107","4862"
"1310","2109","1586"
"1312","2110","5767"
"1316","2118","4371"
"1318","2118","6850"
"1319","2119","6206"
"1325","2126","5678"
"1326","2127","744"
"1327","2128","6240"
