"id","person_id","genre_id","weight","element_type"
"1","8995","7","64","Book"
"2","8995","6","13","Book"
"3","8995","14","4","Book"
"4","9091","7","7","Book"
"5","9091","5","5","Book"
"6","9091","67","4","Book"
"7","9095","7","4","Book"
"8","9095","4","2","Book"
"9","4267","2","15","Book"
"10","4267","7","7","Book"
"11","4267","10","7","Book"
"12","9241","15","12","Book"
"13","9241","7","12","Book"
"14","9241","3","1","Book"
"15","3217","6","10","Book"
"16","1788","7","62","Book"
"17","1788","14","1","Book"
"18","16203","15","6","Book"
"19","16203","7","6","Book"
"20","15801","7","4","Book"
"21","2949","7","1","Book"
"22","3","7","1","Book"
"23","7452","7","112","Book"
"24","7452","5","66","Book"
"25","7452","6","6","Book"
"26","9104","7","2","Book"
"27","9046","7","3","Book"
"28","9046","3","1","Book"
"29","740","7","1","Book"
"30","5567","5","5","Book"
"31","5567","7","4","Book"
"32","400","3","15","Book"
"33","400","6","1","Book"
"34","5496","2","3","Book"
"35","5496","9","1","Book"
"36","5496","14","1","Book"
"37","6318","2","13","Book"
"38","6318","1","3","Book"
"39","6318","9","3","Book"
"40","363","3","1","Book"
"41","363","6","1","Book"
"42","4351","12","2","Book"
"43","4351","8","1","Book"
"44","2417","7","1","Book"
"45","1830","7","77","Book"
"46","1830","6","1","Book"
"47","1830","14","1","Book"
"48","4854","2","2","Book"
"49","4854","10","1","Book"
"50","2241","4","11","Book"
"51","2241","7","9","Book"
"52","2241","5","6","Book"
"53","6359","3","1","Book"
"54","2328","14","1","Book"
"55","2328","7","1","Book"
"56","1417","2","1","Book"
"57","1417","10","1","Book"
"58","3931","7","1","Book"
"59","494","7","2","Book"
"60","7648","6","46","Book"
"61","7648","8","5","Book"
"62","7648","3","2","Book"
"63","8172","7","3","Book"
"64","5491","12","1","Book"
"65","148","6","1","Book"
"66","1482","6","48","Book"
"67","1482","8","12","Book"
"68","1482","7","6","Book"
"69","201","13","7","Book"
"70","201","2","2","Book"
"71","201","9","2","Book"
"72","3894","6","2","Book"
"73","3894","13","1","Book"
"74","7989","7","4","Book"
"75","7989","5","3","Book"
"76","3740","12","2","Book"
"77","8234","2","6","Book"
"78","8234","7","1","Book"
"79","8234","4","1","Book"
"80","565","10","1","Book"
"81","565","14","1","Book"
"82","1886","14","4","Book"
"83","1886","2","2","Book"
"84","1886","10","1","Book"
"85","11234","67","1","Book"
"86","11234","7","1","Book"
"87","894","3","49","Book"
"88","894","10","10","Book"
"89","894","2","6","Book"
"90","7815","2","1","Book"
"91","5656","10","6","Book"
"92","5656","13","2","Book"
"93","5656","1","2","Book"
"94","2617","7","2","Book"
"95","11228","67","1","Book"
"96","11228","7","1","Book"
"97","3838","7","5","Book"
"98","8870","2","34","Book"
"99","8870","9","2","Book"
"100","8870","8","1","Book"
"101","2778","8","1","Book"
